trip_id,date,shift,mode,site_id,vendor_id,driver_id,vehicle_id,direction,scheduled_at,actual_at,planned_km,actual_km,seats,occupancy,status,night_escort
T000027,1788307200000,S1,cab,SITE3,V03,D0264,KA01AB1203,logout,1788348600000,1788348840000,12.09,12.53,4,3,closed,true
T000028,1787961600000,S3,shuttle,SITE2,V01,D0082,KA01AB1905,login,1788017400000,1788019860000,33.30,33.60,24,21,closed,true
T000029,1785369600000,S2,nodal,SITE2,V07,D0100,KA01AB0001,logout,1785432600000,1785432720000,8.20,8.19,12,10,closed,true
T000030,1782172800000,S1,shuttle,SITE3,V07,D0259,KA01AB1405,login,1782181800000,1782181920000,19.90,22.08,24,24,closed,true
T000031,1785715200000,S3,nodal,SITE3,V07,D0101,KA01AB1909,logout,1785713400000,1785715260000,17.41,19.10,12,3,closed,true
T000032,1780963200000,S2,shuttle,SITE4,V03,D0273,KA01AB1362,logout,1781026200000,1781026320000,32.58,34.68,24,5,closed,true
T000033,1782864000000,S3,nodal,SITE3,V07,D0305,KA01AB0734,logout,1782862200000,1782863820000,21.26,21.42,12,9,closed,true
T000034,1782000000000,S3,nodal,SITE2,V04,D0247,KA01AB0053,logout,1781998200000,1781998260000,34.61,39.48,12,3,closed,true
T000035,1783641600000,S3,shuttle,SITE1,V12,D0140,KA01AB0774,login,1783697400000,1783697520000,10.40,10.54,24,20,closed,true
T000036,1788393600000,S2,cab,SITE2,V10,D0006,KA01AB1405,logout,1788456600000,1788456720000,29.27,29.04,4,2,closed,true
T000037,1781136000000,S1,cab,SITE4,V10,D0124,KA01AB0954,login,1781145000000,1781145120000,27.10,28.54,4,2,closed,true
T000038,1780963200000,S3,shuttle,SITE3,V03,D0085,KA01AB0176,logout,1780961400000,1780961400000,25.24,27.99,24,4,closed,true
T000039,1786838400000,S3,cab,SITE3,V04,D0354,KA01AB0857,logout,1786836600000,1786836780000,13.38,14.75,4,4,closed,true
T000040,1787011200000,S2,shuttle,SITE1,V06,D0124,KA01AB0259,login,1787041800000,1787042640000,42.83,40.90,24,14,closed,true
T000041,1781913600000,S1,shuttle,SITE3,V10,D0296,KA01AB0829,logout,1781955000000,1781955360000,33.91,32.73,24,16,closed,true
T000042,1781568000000,S2,nodal,SITE2,V09,D0354,KA01AB0407,login,1781598600000,1781598840000,22.87,22.29,12,8,closed,true
T000043,1788307200000,S3,shuttle,SITE2,V04,D0057,KA01AB1398,login,1788363000000,1788363240000,16.84,17.06,24,20,closed,true
T000044,1781740800000,S2,shuttle,SITE4,V09,D0180,KA01AB1688,login,1781771400000,1781773080000,29.65,31.73,24,18,closed,true
T000045,1788393600000,S2,cab,SITE2,V09,D0311,KA01AB0326,logout,1788456600000,1788456720000,25.97,29.36,4,3,closed,true
T000046,1784332800000,S2,nodal,SITE1,V09,D0237,KA01AB0806,login,1784363400000,1784363520000,13.01,14.57,12,10,closed,true
T000047,1786665600000,S3,shuttle,SITE1,V12,D0365,KA01AB0668,logout,1786663800000,1786663980000,17.10,17.92,24,20,closed,true
T000048,1782518400000,S2,nodal,SITE3,V04,D0204,KA01AB1895,logout,1782581400000,1782581640000,26.66,29.28,12,7,closed,true
T000049,1787184000000,S3,nodal,SITE1,V04,D0396,KA01AB0119,login,1787239800000,1787239920000,8.59,8.63,12,2,closed,true
T000050,1787961600000,S3,cab,SITE2,V02,D0206,KA01AB0136,login,1788017400000,1788017400000,40.77,46.35,4,2,closed,true
T000051,1787788800000,S2,cab,SITE2,V10,D0168,KA01AB1439,logout,1787851800000,1787852040000,31.67,30.68,4,2,closed,true
T000052,1781827200000,S1,shuttle,SITE1,V04,D0035,KA01AB1444,logout,1781868600000,1781868840000,9.13,10.43,24,7,closed,true
T000053,1787875200000,S2,nodal,SITE4,V01,D0058,KA01AB0947,login,1787905800000,1787905860000,16.64,18.94,12,4,closed,true
T000054,1787616000000,S3,nodal,SITE2,V09,D0015,KA01AB1178,logout,1787614200000,1787616240000,40.24,40.31,12,5,closed,true
T000055,1782777600000,S1,cab,SITE3,V10,D0204,KA01AB0134,login,1782786600000,1782786840000,31.43,30.80,4,3,closed,true
T000056,1784073600000,S2,nodal,SITE3,V10,D0259,KA01AB1524,login,1784104200000,1784105880000,23.04,22.92,12,4,closed,true
T000057,1781827200000,S2,nodal,SITE4,V02,D0399,KA01AB0380,logout,1781890200000,1781892780000,37.61,40.95,12,10,closed,true
T000058,1783814400000,S3,cab,SITE2,V12,D0220,KA01AB0402,login,1783870200000,1783871040000,27.58,28.87,4,4,closed,true
T000059,1784073600000,S2,shuttle,SITE1,V09,D0105,KA01AB0423,login,1784104200000,1784104200000,31.94,32.38,24,23,closed,true
T000060,1787788800000,S3,cab,SITE4,V08,D0053,KA01AB1993,logout,1787787000000,1787787060000,24.41,25.36,4,4,closed,true
T000061,1781395200000,S1,cab,SITE4,V04,D0185,KA01AB1933,login,1781404200000,1781404380000,18.65,18.67,4,2,closed,true
T000062,1786752000000,S2,nodal,SITE3,V05,D0365,KA01AB0548,logout,1786815000000,1786815180000,42.29,40.46,12,9,closed,true
T000063,1784678400000,S3,cab,SITE4,V04,D0248,KA01AB1051,logout,1784676600000,1784679300000,16.58,18.69,4,2,closed,true
T000064,1783209600000,S2,cab,SITE1,V05,D0173,KA01AB0061,login,1783240200000,1783240380000,28.13,29.85,4,4,closed,true
T000065,1780790400000,S1,shuttle,SITE2,V07,D0216,KA01AB0588,logout,1780831800000,1780832820000,41.77,42.21,24,12,closed,true
T000066,1787529600000,S2,shuttle,SITE3,V05,D0259,KA01AB1181,login,1787560200000,1787560320000,29.37,31.47,24,2,closed,true
T000067,1784937600000,S1,nodal,SITE1,V09,D0121,KA01AB0426,logout,1784979000000,1784979000000,16.14,18.42,12,2,closed,true
T000068,1785974400000,S3,cab,SITE3,V11,D0297,KA01AB1524,login,1786030200000,1786030200000,15.52,17.25,4,4,closed,true
T000069,1782950400000,S1,nodal,SITE3,V02,D0334,KA01AB0842,login,1782959400000,1782959460000,9.87,10.58,12,6,closed,true
T000070,1783987200000,S2,nodal,SITE1,V05,D0349,KA01AB1986,logout,1784050200000,1784050380000,40.92,46.58,12,8,closed,true
T000071,1783814400000,S1,cab,SITE4,V11,D0034,KA01AB1788,login,1783823400000,1783823400000,31.73,34.28,4,1,closed,true
T000072,1784678400000,S1,nodal,SITE2,V09,D0394,KA01AB0558,login,1784687400000,,8.37,9.00,12,4,open,true
T000073,1782259200000,S1,cab,SITE1,V02,D0065,KA01AB1479,logout,1782300600000,1782300840000,40.82,40.89,4,1,closed,true
T000074,1782086400000,S1,cab,SITE2,V10,D0040,KA01AB0892,login,1782095400000,1782095580000,23.32,23.29,4,2,closed,true
T000075,1781568000000,S3,shuttle,SITE2,V11,D0124,KA01AB0489,login,1781623800000,1781623800000,26.01,29.54,24,22,closed,true
T000076,1783123200000,S1,cab,SITE4,V02,D0340,KA01AB0931,logout,1783164600000,1783164600000,24.47,26.94,4,3,closed,true
T000077,1786320000000,S2,cab,SITE2,V07,D0295,KA01AB0888,login,1786350600000,1786350720000,20.61,22.45,4,3,closed,true
T000078,1783296000000,S1,shuttle,SITE4,V07,D0313,KA01AB0009,login,1783305000000,1783305060000,26.47,25.40,24,5,closed,true
T000079,1783641600000,S3,cab,SITE1,V08,D0303,KA01AB0772,logout,1783639800000,1783639980000,22.97,26.25,4,2,closed,true
T000080,1785369600000,S1,shuttle,SITE1,V03,D0142,KA01AB0801,logout,1785411000000,1785411060000,14.05,14.09,24,16,closed,true
T000081,1781827200000,S2,shuttle,SITE1,V05,D0168,KA01AB1273,logout,1781890200000,1781890320000,33.23,35.79,24,11,closed,true
T000082,1785024000000,S1,shuttle,SITE4,V03,D0295,KA01AB0263,logout,1785065400000,1785065520000,8.84,9.45,24,21,closed,true
T000083,1787702400000,S2,nodal,SITE1,V05,D0111,KA01AB1668,login,1787733000000,1787733060000,33.67,33.94,12,6,closed,true
T000084,1785196800000,S3,nodal,SITE3,V08,D0249,KA01AB1755,login,1785252600000,1785253800000,39.26,40.56,12,10,closed,true
T000085,1783987200000,S3,shuttle,SITE3,V04,D0389,KA01AB1648,logout,1783985400000,1783985580000,16.36,18.59,24,24,closed,true
T000086,1788307200000,S1,shuttle,SITE3,V02,D0201,KA01AB1591,login,1788316200000,1788316320000,18.14,18.13,24,2,closed,true
T000087,1786233600000,S1,nodal,SITE1,V10,D0108,KA01AB1556,login,1786242600000,1786242600000,16.31,16.45,12,8,closed,true
T000088,1783123200000,S1,cab,SITE3,V10,D0362,KA01AB0292,login,1783132200000,1783132320000,22.85,24.28,4,2,closed,true
T000089,1781827200000,S3,shuttle,SITE2,V10,D0237,KA01AB0675,login,1781883000000,1781883180000,38.76,42.85,24,15,closed,true
T000090,1783382400000,S2,cab,SITE4,V06,D0163,KA01AB1355,login,1783413000000,1783413000000,42.04,44.47,4,3,closed,true
T000091,1786838400000,S2,cab,SITE1,V08,D0118,KA01AB0463,logout,1786901400000,1786901640000,30.51,31.54,4,3,closed,false
T000092,1788134400000,S1,nodal,SITE4,V11,D0261,KA01AB0823,logout,1788175800000,1788175860000,23.20,23.45,12,7,closed,true
T000093,1780876800000,S3,cab,SITE1,V02,D0215,KA01AB1491,login,1780932600000,1780934820000,16.11,16.28,4,1,closed,true
T000094,1787961600000,S1,nodal,SITE4,V03,D0012,KA01AB1029,logout,1788003000000,1788003240000,9.20,10.38,12,10,closed,true
T000095,1785974400000,S3,nodal,SITE3,V07,D0121,KA01AB1390,logout,1785972600000,1785972840000,12.32,13.20,12,8,closed,true
T000096,1787616000000,S3,shuttle,SITE1,V11,D0024,KA01AB0591,logout,1787614200000,1787614200000,13.32,14.40,24,12,closed,true
T000097,1782172800000,S1,cab,SITE3,V09,D0166,KA01AB1307,logout,1782214200000,1782214380000,27.53,27.65,4,2,closed,true
T000098,1787529600000,S3,cab,SITE4,V12,D0089,KA01AB1004,logout,1787527800000,1787529720000,20.10,21.48,4,2,closed,true
T000099,1784592000000,S1,cab,SITE3,V07,D0190,KA01AB0971,logout,1784633400000,1784633520000,38.41,42.71,4,1,closed,true
T000100,1783036800000,S1,shuttle,SITE2,V08,D0197,KA01AB1518,logout,1783078200000,1783078440000,33.77,38.24,24,13,closed,true
T000101,1781222400000,S2,nodal,SITE1,V02,D0379,KA01AB1620,login,1781253000000,1781253060000,38.13,42.51,12,3,closed,true
T000102,1788480000000,S2,shuttle,SITE4,V12,D0240,KA01AB0433,login,1788510600000,,31.67,30.95,24,18,open,true
T000103,1787788800000,S3,shuttle,SITE1,V01,D0292,KA01AB0952,login,1787844600000,1787844660000,33.62,38.06,24,6,closed,true
T000104,1788480000000,S3,nodal,SITE1,V09,D0348,KA01AB0914,logout,1788478200000,1788478380000,29.17,31.75,12,1,closed,true
T000105,1786320000000,S2,nodal,SITE3,V04,D0096,KA01AB1492,logout,1786383000000,1786383060000,17.14,16.52,12,6,closed,true
T000106,1785110400000,S3,shuttle,SITE2,V12,D0156,KA01AB0743,logout,1785108600000,1785110340000,37.61,39.59,24,1,closed,true
T000107,1787097600000,S1,shuttle,SITE4,V05,D0159,KA01AB1145,login,1787106600000,1787106660000,37.21,41.32,24,24,closed,true
T000108,1786060800000,S1,shuttle,SITE2,V10,D0325,KA01AB0000,logout,1786102200000,1786102200000,34.83,35.88,24,11,closed,true
T000109,1784073600000,S3,nodal,SITE4,V10,D0128,KA01AB1992,login,1784129400000,1784129460000,41.70,40.81,12,6,closed,true
T000110,1781222400000,S3,nodal,SITE3,V05,D0343,KA01AB0299,logout,1781220600000,1781220720000,29.45,30.72,12,9,closed,true
T000111,1782086400000,S1,shuttle,SITE4,V08,D0278,KA01AB0011,login,1782095400000,1782095580000,31.53,30.42,24,17,closed,true
T000112,1784160000000,S3,nodal,SITE4,V04,D0343,KA01AB1928,logout,1784158200000,1784158440000,32.43,31.25,12,11,closed,true
T000113,1785715200000,S2,nodal,SITE1,V04,D0351,KA01AB0182,logout,1785778200000,1785778260000,41.97,42.03,12,6,closed,true
T000114,1780876800000,S1,shuttle,SITE1,V11,D0047,KA01AB0145,login,1780885800000,1780885800000,18.71,20.07,24,13,closed,true
T000115,1783296000000,S3,shuttle,SITE4,V04,D0373,KA01AB1603,logout,1783294200000,1783295880000,15.06,16.07,24,2,closed,true
T000116,1782086400000,S3,nodal,SITE1,V06,D0032,KA01AB1616,logout,1782084600000,1782084840000,37.83,37.58,12,9,closed,true
T000117,1784937600000,S1,nodal,SITE2,V11,D0382,KA01AB0186,logout,1784979000000,1784979000000,34.10,37.19,12,1,closed,true
T000118,1785801600000,S2,shuttle,SITE2,V04,D0121,KA01AB1220,login,1785832200000,1785832380000,39.94,41.10,24,22,closed,true
T000119,1786147200000,S2,shuttle,SITE3,V02,D0374,KA01AB0530,login,1786177800000,1786177980000,16.01,17.55,24,10,closed,true
T000120,1781913600000,S1,nodal,SITE1,V09,D0282,KA01AB0545,logout,1781955000000,1781955120000,18.24,19.39,12,3,closed,true
T000121,1782604800000,S2,nodal,SITE2,V09,D0195,KA01AB1375,logout,1782667800000,1782667920000,29.98,29.15,12,11,closed,true
T000122,1785628800000,S2,shuttle,SITE1,V06,D0075,KA01AB0368,logout,1785691800000,1785691860000,27.59,30.56,24,13,closed,true
T000123,1784419200000,S1,nodal,SITE3,V03,D0061,KA01AB0725,login,1784428200000,1784428200000,38.06,41.58,12,4,closed,true
T000124,1782000000000,S2,nodal,SITE2,V10,D0170,KA01AB1447,logout,1782063000000,1782063000000,32.49,35.28,12,9,closed,true
T000125,1786147200000,S2,nodal,SITE4,V02,D0311,KA01AB1721,logout,1786210200000,1786210260000,27.10,29.16,12,2,closed,true
T000126,1781222400000,S2,shuttle,SITE1,V03,D0373,KA01AB1615,logout,1781285400000,1781285460000,15.56,15.06,24,8,closed,true
T000127,1782000000000,S3,cab,SITE1,V10,D0062,KA01AB0166,logout,1781998200000,1781998740000,14.03,14.78,4,3,closed,true
T000128,1786924800000,S2,cab,SITE4,V03,D0242,KA01AB1256,login,1786955400000,1786955580000,8.98,10.23,4,4,closed,true
T000129,1782086400000,S3,nodal,SITE4,V04,D0231,KA01AB1733,login,1782142200000,1782142320000,29.38,31.44,12,3,closed,true
T000130,1785628800000,S1,nodal,SITE3,V08,D0105,KA01AB1211,login,1785637800000,1785637800000,10.79,11.63,12,2,closed,true
T000131,1786233600000,S3,cab,SITE1,V07,D0098,KA01AB1851,login,1786289400000,,37.66,40.99,4,4,open,true
T000132,1787961600000,S2,cab,SITE1,V04,D0235,KA01AB0365,login,1787992200000,1787992560000,16.53,17.17,4,4,closed,true
T000133,1786233600000,S3,cab,SITE3,V10,D0298,KA01AB1554,logout,1786231800000,1786231920000,10.52,11.41,4,1,closed,true
T000134,1781740800000,S3,nodal,SITE3,V07,D0348,KA01AB1727,logout,1781739000000,1781739240000,30.23,32.49,12,11,closed,false
T000135,1787443200000,S2,cab,SITE2,V06,D0151,KA01AB1436,logout,1787506200000,1787506260000,33.84,33.18,4,4,closed,true
T000136,1787529600000,S2,shuttle,SITE4,V10,D0196,KA01AB1032,logout,1787592600000,1787592720000,13.30,13.32,24,18,closed,true
T000137,1786060800000,S3,cab,SITE4,V03,D0167,KA01AB1274,login,1786116600000,,39.43,43.11,4,2,open,true
T000138,1787702400000,S1,nodal,SITE2,V05,D0010,KA01AB0055,login,1787711400000,1787711460000,22.55,21.57,12,12,closed,true
T000139,1782432000000,S1,shuttle,SITE1,V11,D0231,KA01AB0062,logout,1782473400000,1782473640000,15.27,17.27,24,10,closed,true
T000140,1782259200000,S1,cab,SITE1,V10,D0148,KA01AB0525,logout,1782300600000,1782300780000,23.63,25.49,4,1,closed,true
T000141,1782518400000,S2,shuttle,SITE2,V06,D0161,KA01AB0700,logout,1782581400000,1782581640000,29.99,29.04,24,22,closed,true
T000142,1783814400000,S2,shuttle,SITE2,V03,D0302,KA01AB1553,login,1783845000000,1783845000000,42.79,49.02,24,6,closed,true
T000143,1783555200000,S1,shuttle,SITE4,V06,D0251,KA01AB1382,logout,1783596600000,1783596660000,20.00,21.06,24,21,closed,true
T000144,1780790400000,S3,nodal,SITE2,V12,D0072,KA01AB1371,login,1780846200000,1780846200000,41.53,46.96,12,6,closed,true
T000145,1784764800000,S1,cab,SITE1,V05,D0362,KA01AB0657,login,1784773800000,1784773860000,22.55,21.90,4,1,closed,true
T000146,1787270400000,S1,nodal,SITE3,V04,D0140,KA01AB1150,login,1787279400000,1787279520000,30.42,32.82,12,9,closed,true
T000147,1783296000000,S3,cab,SITE4,V12,D0173,KA01AB1494,login,1783351800000,1783352220000,27.24,30.33,4,2,closed,true
T000148,1786233600000,S3,shuttle,SITE3,V03,D0105,KA01AB1879,login,1786289400000,1786289460000,30.98,31.66,24,19,closed,true
T000149,1781913600000,S1,shuttle,SITE3,V11,D0023,KA01AB0940,logout,1781955000000,1781955660000,30.91,34.98,24,18,closed,true
T000150,1784160000000,S1,cab,SITE4,V05,D0377,KA01AB1589,logout,1784201400000,1784201400000,39.51,43.04,4,4,closed,true
T000151,1786406400000,S1,nodal,SITE4,V01,D0072,KA01AB0531,login,1786415400000,1786415400000,15.01,15.03,12,7,closed,true
T000152,1787788800000,S1,cab,SITE3,V10,D0147,KA01AB0050,login,1787797800000,1787797860000,36.23,36.81,4,3,closed,true
T000153,1787875200000,S3,nodal,SITE4,V09,D0078,KA01AB1147,login,1787931000000,1787931120000,23.31,22.49,12,11,closed,true
T000154,1781913600000,S1,nodal,SITE2,V12,D0244,KA01AB1567,login,1781922600000,1781922600000,15.16,16.48,12,9,closed,true
T000155,1782000000000,S2,nodal,SITE4,V11,D0042,KA01AB1852,logout,1782063000000,1782063180000,11.54,11.21,12,3,closed,true,UNEXPECTED_EXTRA_FIELD
T000156,1787702400000,S2,shuttle,SITE1,V04,D0172,KA01AB1147,logout,1787765400000,1787765460000,41.17,43.76,24,23,closed,true
T000157,1782518400000,S2,nodal,SITE2,V06,D0331,KA01AB0240,logout,1782581400000,1782583920000,24.29,25.43,12,7,closed,true
T000158,1787616000000,S2,cab,SITE2,V09,D0045,KA01AB1097,logout,1787679000000,1787679180000,26.68,27.59,4,2,closed,true
T000159,1782691200000,S1,shuttle,SITE2,V05,D0304,KA01AB0706,logout,1782732600000,1782732600000,40.36,45.90,24,12,closed,true
T000160,1786147200000,S2,cab,SITE2,V02,D0044,KA01AB1423,login,1786177800000,1786177860000,27.56,28.47,4,4,closed,true
T000161,1787788800000,S1,nodal,SITE4,V04,D0224,KA01AB0006,login,1787797800000,1787797980000,20.96,22.56,12,2,closed,true
T000162,1783036800000,S2,shuttle,SITE2,V05,D0014,KA01AB0874,logout,1783099800000,1783099920000,36.96,40.93,24,20,closed,true
T000163,1783296000000,S1,shuttle,SITE4,V02,D0067,KA01AB1224,logout,1783337400000,1783337520000,21.51,21.73,24,17,closed,true
T000164,1782691200000,S1,shuttle,SITE3,V03,D0055,KA01AB1563,login,1782700200000,1782700380000,34.77,38.55,24,2,closed,true
T000165,1781654400000,S3,nodal,SITE3,V04,D0240,KA01AB0792,logout,1781652600000,1781652600000,27.41,28.24,12,7,closed,true
T000166,1785196800000,S2,nodal,SITE1,V03,D0217,KA01AB1249,logout,1785259800000,1785259860000,35.92,39.28,12,4,closed,true
T000167,1787184000000,S1,nodal,SITE3,V05,D0374,KA01AB0552,logout,1787225400000,1787225400000,27.96,31.75,12,3,closed,true
T000168,1786924800000,S3,shuttle,SITE3,V06,D0028,KA01AB1925,login,1786980600000,1786980780000,31.88,35.59,24,9,closed,true
T000169,1781740800000,S2,shuttle,SITE4,V12,D0270,KA01AB0601,login,1781771400000,1781771640000,24.11,26.75,24,3,closed,true
T000170,1785196800000,S2,nodal,SITE3,V06,D0310,KA01AB0986,logout,1785259800000,1785260040000,36.29,35.53,12,4,closed,true
T000171,1781395200000,S2,nodal,SITE2,V09,D0272,KA01AB0741,login,1781425800000,1781425920000,17.65,19.70,12,7,closed,true
T000172,1782604800000,S3,nodal,SITE1,V06,D0387,KA01AB1516,logout,1782603000000,1782603120000,36.43,41.48,12,11,closed,true
T000173,1785888000000,S3,shuttle,SITE1,V02,D0335,KA01AB0314,logout,1785886200000,1785886440000,31.06,35.56,24,3,closed,true
T000174,1785801600000,S2,nodal,SITE4,V07,D0332,KA01AB1529,logout,1785864600000,1785864660000,19.39,21.02,12,12,closed,true
T000175,1788134400000,S3,cab,SITE1,V02,D0328,KA01AB1871,login,1788190200000,1788190200000,20.72,20.84,4,1,closed,true
T000176,1782000000000,S1,cab,SITE4,V10,D0260,KA01AB0909,login,1782009000000,1782009240000,42.04,45.06,4,4,closed,true
T000177,1782604800000,S2,nodal,SITE1,V02,D0379,KA01AB0802,logout,1782667800000,1782667860000,11.95,12.75,12,6,closed,true
T000178,1782086400000,S2,cab,SITE4,V03,D0348,KA01AB1759,logout,1782149400000,1782149400000,11.02,10.52,4,2,closed,true
T000179,1786406400000,S3,nodal,SITE3,V04,D0230,KA01AB1231,logout,1786404600000,1786404660000,16.76,16.25,12,4,closed,true
T000180,1783123200000,S2,shuttle,SITE4,V01,D0002,KA01AB1503,logout,1783186200000,1783188780000,26.43,28.41,24,17,closed,true
T000181,1783555200000,S2,shuttle,SITE2,V01,D0100,KA01AB0004,logout,1783618200000,1783618380000,14.62,14.23,24,19,closed,true
T000182,1781740800000,S3,cab,SITE4,V08,D0185,KA01AB1506,login,1781796600000,1781796660000,28.51,31.46,4,1,closed,true
T000183,1781568000000,S1,shuttle,SITE1,V05,D0279,KA01AB1546,logout,1781609400000,1781609520000,10.56,10.84,24,23,closed,true
T000184,1787011200000,S1,shuttle,SITE2,V02,D0024,KA01AB0727,logout,1787052600000,1787052720000,10.95,12.42,24,13,closed,true
T000185,1782172800000,S2,cab,SITE3,V12,D0076,KA01AB0212,logout,1782235800000,1782235860000,25.89,26.64,4,2,closed,true
T000186,1782864000000,S1,nodal,SITE3,V09,D0187,KA01AB0939,login,1782873000000,1782873060000,13.53,15.09,12,8,closed,true
T000187,1786752000000,S3,shuttle,SITE1,V08,D0120,KA01AB1386,logout,1786750200000,1786752240000,26.02,27.22,24,2,closed,true
T000188,1781222400000,S2,nodal,SITE3,V04,D0299,KA01AB0622,login,1781253000000,1781253240000,11.21,12.49,12,11,closed,true
T000189,1785801600000,S1,nodal,SITE1,V12,D0111,KA01AB0004,logout,1785843000000,,29.06,28.30,12,1,open,true
T000190,1786147200000,S2,shuttle,SITE2,V11,D0210,KA01AB0967,logout,1786210200000,1786210320000,10.29,10.63,24,1,closed,true
T000191,1786320000000,S2,shuttle,SITE1,V07,D0069,KA01AB0888,logout,1786383000000,1786383180000,21.06,23.69,24,5,closed,false
T000192,1787961600000,S3,shuttle,SITE1,V06,D0169,KA01AB0851,login,1788017400000,1788017580000,22.95,24.01,24,22,closed,true
T000193,1782518400000,S3,shuttle,SITE4,V01,D0139,KA01AB1664,login,1782574200000,1782574320000,13.52,13.49,24,7,closed,true
T000194,1787356800000,S3,nodal,SITE4,V09,D0079,KA01AB0239,logout,1787355000000,1787357580000,23.54,26.86,12,8,closed,true
T000195,1784764800000,S2,shuttle,SITE2,V03,D0301,KA01AB1663,login,1784795400000,1784795400000,18.17,20.78,24,18,closed,true
T000196,1782432000000,S2,cab,SITE1,V11,D0143,KA01AB0570,logout,1782495000000,1782495180000,18.11,17.57,4,3,closed,true
T000197,1786924800000,S3,cab,SITE2,V12,D0087,KA01AB1877,login,1786980600000,1786982040000,24.60,23.49,4,3,closed,true,UNEXPECTED_EXTRA_FIELD
T000198,1783728000000,S1,nodal,SITE4,V02,D0197,KA01AB0023,login,1783737000000,1783737000000,36.94,41.98,12,6,closed,true
T000199,1784764800000,S2,shuttle,SITE3,V06,D0390,KA01AB0220,login,1784795400000,1784795640000,28.81,32.72,24,19,closed,true
T000200,1788393600000,S1,nodal,SITE2,V08,D0031,KA01AB0733,logout,1788435000000,1788435240000,36.33,39.28,12,10,closed,true
