trip_id,reason_code,minutes,recorded_at
T001574,VEHICLE_BREAKDOWN,9,1787452740000
T001582,TRAFFIC,26,1787043360000
T001589,VEHICLE_BREAKDOWN,34,1788005040000
T001599,DRIVER_LATE,12,1788219720000
T001610,WEATHER,42,1786731120000
T001613,TRAFFIC,17,1786124820000
T001614,DRIVER_LATE,41,1786212660000
T001636,GATE_HOLD,36,1782065160000
T001644,GATE_HOLD,14,1786751040000
T001650,TRAFFIC,38,1781885280000
T001651,GATE_HOLD,17,1783381620000
T001658,DRIVER_LATE,17,1784828820000
T001659,WEATHER,23,1786636380000
T001661,DRIVER_LATE,7,1787960220000
T001664,WEATHER,30,1786147200000
T001671,DRIVER_LATE,19,1785167340000
T001672,WEATHER,42,1786205520000
T001673,GATE_HOLD,26,1781884560000
T001682,TRAFFIC,9,1785109140000
T001696,DRIVER_LATE,9,1782614340000
T001698,TRAFFIC,37,1786007220000
T001701,WEATHER,42,1786795920000
T001703,WEATHER,23,1784303580000
T001707,WEATHER,10,1782862800000
T001711,TRAFFIC,16,1781426760000
T001715,VEHICLE_BREAKDOWN,36,1786104360000
T001718,WEATHER,21,1781524260000
T001719,WEATHER,36,1783166760000
T001723,DRIVER_LATE,39,1783296540000
T001727,GATE_HOLD,12,1781286120000
T001737,WEATHER,28,1781233080000
T001749,VEHICLE_BREAKDOWN,8,1785573480000
T001766,GATE_HOLD,32,1783699320000
T001770,DRIVER_LATE,39,1786118940000
T001772,GATE_HOLD,8,1784795880000
T001795,DRIVER_LATE,13,1787733780000
T001798,WEATHER,26,1781740560000
T001810,DRIVER_LATE,6,1783121760000
T001812,TRAFFIC,37,1785953220000
T001814,DRIVER_LATE,44,1787357640000
T001815,WEATHER,35,1786644300000
T001817,GATE_HOLD,39,1782576540000
T001822,TRAFFIC,10,1787326800000
T001842,TRAFFIC,16,1780821960000
T001848,TRAFFIC,40,1781971800000
T001853,WEATHER,24,1787673240000
T001856,VEHICLE_BREAKDOWN,31,1783220460000
T001869,VEHICLE_BREAKDOWN,8,1787240280000
T001887,WEATHER,6,1784979360000
T001890,WEATHER,17,1782582420000
T001895,TRAFFIC,44,1781453640000
T001905,DRIVER_LATE,30,1781697600000
T001907,WEATHER,35,1787648700000
T001909,TRAFFIC,44,1786623240000
T001922,TRAFFIC,6,1787153760000
T001929,VEHICLE_BREAKDOWN,37,1784506020000
T001936,VEHICLE_BREAKDOWN,31,1786417260000
T001939,WEATHER,11,1781318460000
T001940,VEHICLE_BREAKDOWN,7,1783640220000
T001949,GATE_HOLD,36,1782983160000
T001956,VEHICLE_BREAKDOWN,43,1782670380000
T001958,VEHICLE_BREAKDOWN,15,1784130300000
T001984,GATE_HOLD,41,1785168660000
T002004,WEATHER,44,1783016040000
T002005,TRAFFIC,38,1787854080000
T002007,VEHICLE_BREAKDOWN,19,1786031340000
T002019,TRAFFIC,20,1783900200000
T002031,VEHICLE_BREAKDOWN,42,1785834720000
T002044,WEATHER,26,1787846160000
T002050,DRIVER_LATE,45,1785240900000
T002054,GATE_HOLD,30,1788105600000
T002056,VEHICLE_BREAKDOWN,20,1787021400000
T002076,VEHICLE_BREAKDOWN,6,1780907760000
T002077,DRIVER_LATE,6,1786448160000
T002088,VEHICLE_BREAKDOWN,16,1786203960000
T002089,GATE_HOLD,35,1785672300000
T002101,TRAFFIC,22,1786697520000
T002112,GATE_HOLD,22,1787075520000
T002115,DRIVER_LATE,35,1787155500000
T002124,DRIVER_LATE,45,1788480900000
T002131,GATE_HOLD,28,1788436680000
T002137,TRAFFIC,25,1785434100000
T002139,GATE_HOLD,36,1785607560000
T002146,TRAFFIC,20,1780887000000
T002149,TRAFFIC,28,1780887480000
T002154,DRIVER_LATE,38,1786205280000
T002155,VEHICLE_BREAKDOWN,34,1786665840000
T002160,DRIVER_LATE,19,1784375340000
T002166,DRIVER_LATE,12,1781059320000
T002169,WEATHER,19,1781686140000
T002176,WEATHER,36,1781352360000
T002180,DRIVER_LATE,25,1783479300000
T002183,WEATHER,8,1787845080000
T002187,WEATHER,25,1786416900000
T002197,DRIVER_LATE,8,1784677080000
T002199,VEHICLE_BREAKDOWN,33,1783533780000
T002202,TRAFFIC,32,1785585720000
T002204,GATE_HOLD,25,1786157700000
T002225,DRIVER_LATE,22,1787788320000
T002228,DRIVER_LATE,18,1783187280000
T002230,GATE_HOLD,15,1787571900000
T002231,GATE_HOLD,10,1783770000000
T002232,WEATHER,11,1785346860000
T002247,VEHICLE_BREAKDOWN,22,1782316320000
T002248,VEHICLE_BREAKDOWN,11,1782322860000
T002252,WEATHER,9,1784018340000
T002257,WEATHER,40,1785489000000
T002266,WEATHER,38,1782464880000
T002269,GATE_HOLD,35,1786723500000
T002270,DRIVER_LATE,10,1782819600000
T002273,WEATHER,7,1787744220000
T002282,WEATHER,41,1783015860000
T002288,VEHICLE_BREAKDOWN,7,1787845020000
T002293,VEHICLE_BREAKDOWN,32,1786896120000
T002294,WEATHER,8,1784687880000
T002296,WEATHER,39,1786504140000
T002307,GATE_HOLD,8,1788219480000
T002314,GATE_HOLD,27,1785898620000
T002333,WEATHER,34,1783209840000
T002340,VEHICLE_BREAKDOWN,38,1782378480000
T002350,GATE_HOLD,23,1788371580000
T002351,WEATHER,45,1781082900000
T002352,DRIVER_LATE,18,1781797680000
T002356,WEATHER,13,1782949380000
T002360,TRAFFIC,28,1781222280000
T002362,GATE_HOLD,41,1782663060000
T002375,WEATHER,37,1782616020000
T002382,GATE_HOLD,41,1787595060000
T002403,WEATHER,36,1785369960000
T002407,VEHICLE_BREAKDOWN,36,1786320360000
T002420,GATE_HOLD,14,1785541440000
T002430,WEATHER,45,1786072500000
T002431,VEHICLE_BREAKDOWN,25,1783439700000
T002437,TRAFFIC,39,1782778140000
T002440,WEATHER,43,1781367180000
T002444,WEATHER,7,1788316620000
T002451,TRAFFIC,8,1787485080000
T002456,GATE_HOLD,35,1786665900000
T002470,TRAFFIC,8,1786016280000
T002473,GATE_HOLD,28,1787648280000
T002488,TRAFFIC,38,1788048480000
T002494,GATE_HOLD,31,1782723660000
T002496,WEATHER,9,1784309940000
T002502,VEHICLE_BREAKDOWN,15,1783511100000
T002511,TRAFFIC,35,1783339500000
T002515,DRIVER_LATE,11,1787560860000
T002517,VEHICLE_BREAKDOWN,7,1786502220000
T002519,TRAFFIC,15,1783241100000
T002523,VEHICLE_BREAKDOWN,38,1781280480000
T002526,GATE_HOLD,22,1784937120000
T002530,WEATHER,44,1784218440000
T002534,GATE_HOLD,22,1788198720000
T002559,VEHICLE_BREAKDOWN,13,1786923780000
T002561,DRIVER_LATE,7,1781134620000
T002565,VEHICLE_BREAKDOWN,11,1784389260000
T002573,TRAFFIC,27,1781567820000
T002583,VEHICLE_BREAKDOWN,12,1788457320000
T002590,VEHICLE_BREAKDOWN,9,1785605940000
T002598,DRIVER_LATE,19,1782355740000
T002620,GATE_HOLD,8,1782387480000
T002646,TRAFFIC,17,1788490020000
T002647,WEATHER,10,1785339600000
T002650,WEATHER,35,1788307500000
T002664,VEHICLE_BREAKDOWN,8,1787153880000
T002666,WEATHER,42,1785262320000
T002671,TRAFFIC,23,1780833180000
T002683,GATE_HOLD,40,1788459000000
T002687,WEATHER,34,1784822640000
T002694,DRIVER_LATE,19,1782031740000
T002695,DRIVER_LATE,38,1782864480000
T002716,DRIVER_LATE,44,1784344440000
T002722,DRIVER_LATE,32,1786795320000
T002723,VEHICLE_BREAKDOWN,33,1781665380000
T002728,WEATHER,16,1782733560000
T002731,VEHICLE_BREAKDOWN,34,1782173040000
T002736,WEATHER,27,1781665020000
T002745,GATE_HOLD,19,1782920940000
T002748,GATE_HOLD,8,1784245080000
T002751,TRAFFIC,18,1781059680000
T002760,TRAFFIC,38,1783253280000
T002764,DRIVER_LATE,20,1782377400000
T002767,WEATHER,34,1782605040000
T002769,WEATHER,21,1780847460000
T002771,WEATHER,20,1787097000000
T002777,GATE_HOLD,18,1783759680000
T002779,DRIVER_LATE,19,1784051340000
T002783,VEHICLE_BREAKDOWN,23,1785228780000
T002795,TRAFFIC,41,1781082660000
T002809,GATE_HOLD,39,1781719740000
T002811,TRAFFIC,24,1787108040000
T002814,VEHICLE_BREAKDOWN,28,1783738680000
T002816,DRIVER_LATE,6,1783100160000
T002825,DRIVER_LATE,22,1782057120000
T002850,TRAFFIC,23,1787615580000
T002865,DRIVER_LATE,32,1784635320000
T002870,WEATHER,7,1783413420000
T002873,GATE_HOLD,27,1783101420000
T002875,DRIVER_LATE,6,1788251760000
T002878,VEHICLE_BREAKDOWN,32,1787043720000
T002882,TRAFFIC,6,1784475360000
T002886,WEATHER,22,1780973520000
T002895,VEHICLE_BREAKDOWN,38,1785089280000
T002896,VEHICLE_BREAKDOWN,24,1786722840000
T002901,GATE_HOLD,35,1788167100000
T002906,DRIVER_LATE,14,1781113440000
T002927,DRIVER_LATE,25,1784192100000
T002929,VEHICLE_BREAKDOWN,12,1787413320000
T002930,WEATHER,44,1786810440000
T002932,GATE_HOLD,19,1785142140000
T002937,GATE_HOLD,14,1781365440000
T002941,WEATHER,31,1784419260000
T002958,VEHICLE_BREAKDOWN,8,1783294680000
T002960,DRIVER_LATE,9,1785411540000
T002968,TRAFFIC,8,1788316680000
T002973,VEHICLE_BREAKDOWN,43,1786795980000
T002990,VEHICLE_BREAKDOWN,33,1787680980000
T002993,WEATHER,44,1781021640000
T002996,VEHICLE_BREAKDOWN,26,1787097360000
T003013,TRAFFIC,11,1782488460000
T003023,GATE_HOLD,8,1784709480000
T003065,TRAFFIC,30,1786464000000
T003069,VEHICLE_BREAKDOWN,42,1781838720000
T003072,DRIVER_LATE,39,1788480540000
T003078,WEATHER,33,1782648180000
T003079,WEATHER,39,1780909740000
T003085,VEHICLE_BREAKDOWN,15,1781858700000
T003103,WEATHER,24,1781837640000
T003115,WEATHER,15,1787442300000
T003129,TRAFFIC,33,1787745780000
T003132,WEATHER,32,1784278920000
T003141,GATE_HOLD,18,1786643280000
T003142,GATE_HOLD,42,1782691920000
T003143,TRAFFIC,45,1786968900000
T003146,VEHICLE_BREAKDOWN,11,1786470060000
T003156,WEATHER,38,1788019680000
T003157,WEATHER,37,1781633220000
T003160,WEATHER,18,1781977680000
T003163,TRAFFIC,10,1782009600000
T003179,DRIVER_LATE,32,1785985320000
T003180,DRIVER_LATE,23,1781405580000
T003195,TRAFFIC,13,1785080580000
T003197,WEATHER,30,1781020800000
T003201,DRIVER_LATE,31,1784430060000
T003202,VEHICLE_BREAKDOWN,35,1785207900000
T003210,GATE_HOLD,14,1787413440000
T003221,TRAFFIC,21,1783705860000
T003226,VEHICLE_BREAKDOWN,35,1780941900000
T003233,WEATHER,35,1788285900000
T003234,WEATHER,8,1784389080000
T003249,DRIVER_LATE,19,1786895340000
T003256,VEHICLE_BREAKDOWN,37,1785726420000
T003261,VEHICLE_BREAKDOWN,24,1783698840000
T003269,TRAFFIC,43,1783653180000
T003275,VEHICLE_BREAKDOWN,27,1787443020000
T003279,DRIVER_LATE,20,1781859000000
T003286,WEATHER,41,1787886660000
T003290,VEHICLE_BREAKDOWN,26,1787154960000
T003300,VEHICLE_BREAKDOWN,30,1787162400000
T003304,GATE_HOLD,10,1787161200000
T003308,TRAFFIC,11,1781134860000
T003309,GATE_HOLD,31,1782230460000
T003312,DRIVER_LATE,37,1788545220000
T003318,TRAFFIC,27,1783007820000
T003335,VEHICLE_BREAKDOWN,24,1786118040000
T003338,GATE_HOLD,37,1788134820000
T003339,WEATHER,28,1782323880000
T003343,TRAFFIC,45,1786983300000
T003345,DRIVER_LATE,18,1785034080000
T003362,GATE_HOLD,14,1781491440000
T003363,GATE_HOLD,19,1782042540000
T003364,VEHICLE_BREAKDOWN,18,1785520080000
T003365,DRIVER_LATE,8,1787269080000
T003382,DRIVER_LATE,19,1783468140000
T003389,GATE_HOLD,18,1784548080000
T003395,WEATHER,15,1784277900000
T003398,WEATHER,8,1785314280000
T003399,WEATHER,23,1784710380000
T003402,WEATHER,29,1783241940000
T003408,WEATHER,34,1787421840000
T003413,TRAFFIC,22,1785772320000
T003425,VEHICLE_BREAKDOWN,6,1784648160000
T003442,VEHICLE_BREAKDOWN,39,1787076540000
T003443,TRAFFIC,14,1782690240000
T003455,TRAFFIC,14,1785206640000
T003456,GATE_HOLD,35,1787357100000
T003458,TRAFFIC,10,1781134800000
T003471,WEATHER,22,1782409920000
T003479,DRIVER_LATE,34,1781193840000
T003494,DRIVER_LATE,36,1782129960000
T003503,TRAFFIC,28,1787068680000
T003519,VEHICLE_BREAKDOWN,24,1784051640000
T003528,VEHICLE_BREAKDOWN,45,1781946900000
T003538,WEATHER,43,1785111180000
T003542,VEHICLE_BREAKDOWN,41,1787649060000
T003544,WEATHER,36,1783181160000
T003547,VEHICLE_BREAKDOWN,22,1786956720000
T003552,WEATHER,41,1782724260000
T003556,DRIVER_LATE,15,1781264700000
T003564,TRAFFIC,28,1788339480000
T003567,TRAFFIC,24,1784969640000
T003573,WEATHER,26,1781654160000
T003579,VEHICLE_BREAKDOWN,21,1786117860000
T003594,GATE_HOLD,40,1781406600000
T003600,DRIVER_LATE,20,1782863400000
T003659,TRAFFIC,13,1781278980000
T003686,DRIVER_LATE,31,1782259260000
T003689,WEATHER,22,1783014720000
T003697,TRAFFIC,23,1783612380000
T003700,VEHICLE_BREAKDOWN,33,1785261780000
T003707,GATE_HOLD,33,1786881780000
T003711,GATE_HOLD,19,1788392940000
T003724,GATE_HOLD,13,1787798580000
T003726,VEHICLE_BREAKDOWN,42,1783296720000
T003742,WEATHER,35,1787335500000
T003746,GATE_HOLD,14,1782387840000
T003749,VEHICLE_BREAKDOWN,28,1786438680000
T003751,DRIVER_LATE,39,1786277340000
T003758,DRIVER_LATE,29,1782215940000
T003765,DRIVER_LATE,35,1781406300000
T003776,VEHICLE_BREAKDOWN,42,1784117520000
T003783,DRIVER_LATE,26,1786848960000
T003788,GATE_HOLD,20,1781146200000
T003791,GATE_HOLD,22,1786362720000
T003801,WEATHER,17,1783586820000
T003803,WEATHER,19,1786362540000
T003808,TRAFFIC,17,1788263220000
T003820,GATE_HOLD,18,1786502880000
T003825,VEHICLE_BREAKDOWN,10,1786070400000
T003826,WEATHER,27,1782748620000
T003835,TRAFFIC,28,1783069080000
T003836,WEATHER,17,1783093620000
T003851,VEHICLE_BREAKDOWN,45,1781666100000
T003854,VEHICLE_BREAKDOWN,33,1788134580000
T003859,GATE_HOLD,13,1787874180000
T003860,GATE_HOLD,12,1786290120000
T003864,GATE_HOLD,30,1783036800000
T003865,TRAFFIC,7,1783121820000
T003873,TRAFFIC,15,1781167500000
T003876,WEATHER,27,1787270220000
T003886,VEHICLE_BREAKDOWN,13,1782182580000
T003888,VEHICLE_BREAKDOWN,14,1783813440000
T003906,TRAFFIC,32,1784419320000
T003918,DRIVER_LATE,16,1785433560000
T003924,VEHICLE_BREAKDOWN,26,1781452560000
T003926,DRIVER_LATE,40,1788192600000
T003932,DRIVER_LATE,25,1781168100000
T003938,TRAFFIC,12,1785346920000
T003959,DRIVER_LATE,33,1787335380000
T003961,TRAFFIC,14,1784331840000
T003966,WEATHER,10,1785426000000
T003979,TRAFFIC,24,1784602440000
T003983,GATE_HOLD,37,1782983220000
T003985,DRIVER_LATE,17,1782316020000
T003988,TRAFFIC,14,1781253840000
T003989,GATE_HOLD,14,1786383840000
T004011,WEATHER,19,1784947740000
T004018,TRAFFIC,44,1784052840000
T004024,WEATHER,42,1784304720000
T004026,WEATHER,9,1783121940000
T004034,WEATHER,35,1786590300000
T004050,DRIVER_LATE,10,1788489600000
T004054,VEHICLE_BREAKDOWN,15,1783871100000
T004058,WEATHER,39,1782616140000
T004059,TRAFFIC,27,1782431820000
T004064,WEATHER,36,1787501160000
T004068,GATE_HOLD,22,1782172320000
T004070,VEHICLE_BREAKDOWN,32,1787918520000
T004080,TRAFFIC,6,1783179360000
T004092,WEATHER,38,1787216880000
T004095,GATE_HOLD,8,1783078680000
T004114,VEHICLE_BREAKDOWN,19,1781783340000
T004119,VEHICLE_BREAKDOWN,19,1787226540000
T004123,TRAFFIC,7,1784482620000
T004132,TRAFFIC,45,1785975300000
T004133,WEATHER,41,1782529860000
T004134,DRIVER_LATE,36,1782230760000
T004151,VEHICLE_BREAKDOWN,7,1785519420000
T004167,DRIVER_LATE,16,1787586360000
T004168,GATE_HOLD,33,1785024180000
T004171,VEHICLE_BREAKDOWN,21,1782129060000
T004173,TRAFFIC,32,1786017720000
T004184,DRIVER_LATE,19,1785412140000
T004207,TRAFFIC,30,1787875200000
T004215,GATE_HOLD,10,1782862800000
T004223,WEATHER,20,1783439400000
T004235,GATE_HOLD,9,1783305540000
T004236,VEHICLE_BREAKDOWN,39,1787011740000
T004245,DRIVER_LATE,27,1784246220000
T004247,DRIVER_LATE,19,1785887340000
T004267,GATE_HOLD,32,1781406120000
T004269,TRAFFIC,21,1785066660000
T004283,DRIVER_LATE,17,1781977620000
T004295,GATE_HOLD,8,1784821080000
T004307,GATE_HOLD,19,1785685740000
T004311,DRIVER_LATE,26,1783706160000
T004313,TRAFFIC,30,1787140800000
T004330,GATE_HOLD,40,1784949000000
T004344,GATE_HOLD,36,1785585960000
T004351,TRAFFIC,42,1786018320000
T004353,GATE_HOLD,9,1787020740000
T004359,GATE_HOLD,36,1786118760000
T004373,TRAFFIC,42,1782000720000
T004383,TRAFFIC,12,1781750520000
T004390,WEATHER,19,1784735340000
T004393,DRIVER_LATE,24,1788090840000
T004399,DRIVER_LATE,11,1786869660000
T004402,TRAFFIC,11,1783705260000
T004404,VEHICLE_BREAKDOWN,42,1785341520000
T004405,VEHICLE_BREAKDOWN,42,1781712720000
T004407,WEATHER,17,1784137620000
T004416,TRAFFIC,20,1784721000000
T004429,DRIVER_LATE,45,1781655300000
T004434,WEATHER,34,1781946240000
T004439,TRAFFIC,35,1781946300000
T004445,TRAFFIC,29,1781168340000
T004446,DRIVER_LATE,31,1781168460000
T004447,GATE_HOLD,35,1785024300000
T004461,WEATHER,43,1785467580000
T004464,TRAFFIC,26,1786989360000
T004466,VEHICLE_BREAKDOWN,27,1788339420000
T004468,WEATHER,33,1782788580000
T004486,GATE_HOLD,31,1784030460000
T004487,VEHICLE_BREAKDOWN,7,1782560220000
T004489,TRAFFIC,33,1784678580000
