trip_id,employee_id,rating,comment,language
T000147,E01780,5,"Driver was punctual and polite",en
T000148,E00791,4,"Driver was punctual and polite",en
T000149,E03571,3,"Vandi sariyana neratthil vanthathu",ta
T000152,E02544,5,"Cab samay par aaya, driver acha tha",hi
T000154,E00357,5,"Driver was punctual and polite",en
T000170,E03143,4,"Cab samay par aaya, driver acha tha",hi
T000173,E00319,3,"Driver was punctual and polite",en
T000174,E02576,4,"Driver was punctual and polite",en
T000179,E02198,5,"Vandi sariyana neratthil vanthathu",ta
T000184,E02787,3,"Driver was punctual and polite",en
T000185,E02888,5,"Driver was punctual and polite",en
T000186,E00042,5,"Vandi sariyana neratthil vanthathu",ta
T000187,E03409,3,"Driver was punctual and polite",en
T000188,E00506,3,"Driver was punctual and polite",en
T000195,E01997,3,"Driver was punctual and polite",en
T000197,E01455,1,"Cab chala late ayindi, sammachaaram ledu",te
T000199,E03852,4,"Cab samay par aaya, driver acha tha",hi
T000201,E02967,5,"Cab samayakke bantu, chennagitru",kn
T000206,E00959,3,"Driver was punctual and polite",en
T000208,E01485,3,"Driver was punctual and polite",en
T000212,E01169,4,"Driver was punctual and polite",en
T000216,E03888,3,"Cab samayakke bantu, chennagitru",kn
T000217,E02190,2,"Waited forty minutes with no update",en
T000220,E03388,4,"Driver was punctual and polite",en
T000221,E03820,5,"Driver was punctual and polite",en
T000225,E00611,3,"Vandi sariyana neratthil vanthathu",ta
T000227,E03869,2,"Waited forty minutes with no update",en
T000228,E01046,5,"Cab samayakke bantu, chennagitru",kn
T000233,E03363,4,"Driver was punctual and polite",en
T000234,E00894,5,"Cab samayakke bantu, chennagitru",kn
T000239,E00529,3,"Driver was punctual and polite",en
T000240,E00908,5,"Driver was punctual and polite",en
T000241,E00608,5,"Driver was punctual and polite",en
T000248,E02584,5,"Driver was punctual and polite",en
T000252,E01428,3,"Cab samayakke bantu, chennagitru",kn
T000258,E01203,2,"Cab chala late ayindi, sammachaaram ledu",te
T000264,E00505,3,"Driver was punctual and polite",en
T000265,E03194,3,"Vandi sariyana neratthil vanthathu",ta
T000268,E02903,3,"Driver was punctual and polite",en
T000269,E01964,5,"Driver samayaniki vachadu, baagundi",te
T000272,E02748,3,"Driver samayaniki vachadu, baagundi",te
T000273,E03995,3,"Driver was punctual and polite",en
T000276,E00168,3,"Vandi sariyana neratthil vanthathu",ta
T000277,E02026,3,"Driver was punctual and polite",en
T000281,E03362,3,"Driver was punctual and polite",en
T000285,E00836,1,"Cab tumba late aytu, maahiti sigalilla",kn
T000286,E03486,3,"Driver was punctual and polite",en
T000289,E00857,3,"Driver was punctual and polite",en
T000290,E03147,3,"Cab samayakke bantu, chennagitru",kn
T000291,E00175,3,"Driver samayaniki vachadu, baagundi",te
T000292,E02106,3,"Driver was punctual and polite",en
T000296,E02006,4,"Driver was punctual and polite",en
T000300,E02550,3,"Driver was punctual and polite",en
T000301,E02579,3,"Driver was punctual and polite",en
T000302,E02237,3,"Driver was punctual and polite",en
T000305,E03181,5,"Cab samay par aaya, driver acha tha",hi
T000306,E01171,5,"Cab samayakke bantu, chennagitru",kn
T000309,E00902,3,"Driver was punctual and polite",en
T000315,E02770,1,"Waited forty minutes with no update",en
T000319,E03309,4,"Cab samayakke bantu, chennagitru",kn
T000322,E02682,5,"Driver was punctual and polite",en
T000329,E03276,4,"Cab samay par aaya, driver acha tha",hi
T000333,E02019,3,"Driver was punctual and polite",en
T000338,E00134,5,"Driver was punctual and polite",en
T000339,E02889,4,"Driver was punctual and polite",en
T000340,E02264,4,"Driver was punctual and polite",en
T000342,E02132,3,"Driver was punctual and polite",en
T000346,E00490,4,"Cab samayakke bantu, chennagitru",kn
T000348,E00920,3,"Driver was punctual and polite",en
T000351,E00628,4,"Driver was punctual and polite",en
T000352,E02436,4,"Driver was punctual and polite",en
T000353,E00306,5,"Vandi sariyana neratthil vanthathu",ta
T000355,E03292,3,"Driver was punctual and polite",en
T000360,E00700,4,"Driver was punctual and polite",en
T000362,E01077,3,"Driver samayaniki vachadu, baagundi",te
T996479,E01400,3,"Driver was punctual and polite",en
T000366,E01897,5,"Driver was punctual and polite",en
T000376,E02227,3,"Driver was punctual and polite",en
T000377,E01788,3,"Driver was punctual and polite",en
T000379,E01938,4,"Driver was punctual and polite",en
T000380,E02413,5,"Driver was punctual and polite",en
T000381,E00790,5,"Cab samay par aaya, driver acha tha",hi
T000383,E00578,4,"Driver samayaniki vachadu, baagundi",te
T000386,E03088,3,"Cab samay par aaya, driver acha tha",hi
T000391,E01881,4,"Driver was punctual and polite",en
T000394,E01276,2,"Waited forty minutes with no update",en
T000396,E02326,4,"Driver was punctual and polite",en
T000400,E00050,3,"Driver was punctual and polite",en
T998454,E02284,4,"Vandi sariyana neratthil vanthathu",ta
T000405,E01865,5,"Driver was punctual and polite",en
T000406,E02515,5,"Driver was punctual and polite",en
T000408,E00122,4,"Driver was punctual and polite",en
T000410,E02748,5,"Driver was punctual and polite",en
T000411,E01601,4,"Driver was punctual and polite",en
T000412,E00671,5,"Cab samayakke bantu, chennagitru",kn
T000414,E02668,5,"Cab samayakke bantu, chennagitru",kn
T000415,E03171,5,"Driver was punctual and polite",en
T000417,E02484,3,"Driver was punctual and polite",en
T000419,E03436,3,"Driver was punctual and polite",en
T000420,E00078,5,"Driver was punctual and polite",en
T000421,E02101,5,"Driver was punctual and polite",en
T997484,E00766,3,"Driver was punctual and polite",en
T000426,E02157,5,"Driver was punctual and polite",en
T000427,E01124,3,"Driver was punctual and polite",en
T000428,E01281,5,"Cab samay par aaya, driver acha tha",hi
T000429,E02199,4,"Driver was punctual and polite",en
T000431,E03882,1,"Cab bahut late tha, koi soochna nahi mili",hi
T000436,E03485,5,"Driver was punctual and polite",en
T000440,E01780,5,"Driver was punctual and polite",en
T000449,E02661,3,"Driver was punctual and polite",en
T000454,E01433,4,"Vandi sariyana neratthil vanthathu",ta
T000459,E02162,5,"Driver was punctual and polite",en
T000460,E03179,4,"Vandi sariyana neratthil vanthathu",ta
T000469,E01715,4,"Driver was punctual and polite",en
T000470,E03339,4,"Driver was punctual and polite",en
T993437,E00596,5,"Cab samayakke bantu, chennagitru",kn
T000479,E01575,3,"Driver was punctual and polite",en
T000480,E03598,4,"Driver was punctual and polite",en
T000482,E00135,3,"Driver was punctual and polite",en
T000486,E02970,4,"Driver samayaniki vachadu, baagundi",te
T000488,E02200,3,"Driver was punctual and polite",en
T000490,E01380,3,"Cab samayakke bantu, chennagitru",kn
T000492,E02019,3,"Driver was punctual and polite",en
T000500,E01375,4,"Driver samayaniki vachadu, baagundi",te
T000503,E00456,5,"Cab samay par aaya, driver acha tha",hi
T000505,E01628,3,"Driver was punctual and polite",en
T000507,E00387,5,"Cab samayakke bantu, chennagitru",kn
T000508,E02999,5,"Driver samayaniki vachadu, baagundi",te
T000509,E03992,3,"Driver samayaniki vachadu, baagundi",te
T000511,E01875,4,"Driver samayaniki vachadu, baagundi",te
T000513,E02090,4,"Vandi sariyana neratthil vanthathu",ta
T000516,E01379,5,"Cab samay par aaya, driver acha tha",hi
T000517,E00825,5,"Cab samayakke bantu, chennagitru",kn
T000518,E02905,3,"Cab samayakke bantu, chennagitru",kn
T000522,E02794,5,"Cab samay par aaya, driver acha tha",hi
T000528,E01151,5,"Driver samayaniki vachadu, baagundi",te
T000529,E00639,4,"Cab samayakke bantu, chennagitru",kn
T000533,E03614,4,"Cab samay par aaya, driver acha tha",hi
T000536,E03944,3,"Driver was punctual and polite",en
T000538,E02082,5,"Driver was punctual and polite",en
T000539,E01285,5,"Cab samay par aaya, driver acha tha",hi
T000541,E01828,4,"Driver was punctual and polite",en
T000542,E01196,5,"Driver was punctual and polite",en
T000546,E02704,4,"Driver was punctual and polite",en
T000547,E03129,3,"Driver was punctual and polite",en
T000548,E00146,3,"Driver was punctual and polite",en
T000549,E01020,3,"Driver was punctual and polite",en
T000552,E01421,4,"Driver was punctual and polite",en
T000557,E02041,4,"Driver was punctual and polite",en
T000558,E02578,4,"Driver was punctual and polite",en
T000560,E03495,4,"Driver samayaniki vachadu, baagundi",te
T000563,E00148,3,"Cab samayakke bantu, chennagitru",kn
T000566,E02862,4,"Driver was punctual and polite",en
T000569,E03486,4,"Driver was punctual and polite",en
T000573,E01047,4,"Driver was punctual and polite",en
T000576,E02849,3,"Driver samayaniki vachadu, baagundi",te
T000577,E03931,3,"Driver was punctual and polite",en
T000578,E01218,4,"Driver was punctual and polite",en
T000583,E01215,2,"Waited forty minutes with no update",en
T000585,E02714,5,"Driver was punctual and polite",en
T000589,E00455,4,"Driver was punctual and polite",en
T000593,E01983,4,"Driver was punctual and polite",en
T000594,E02034,4,"Driver samayaniki vachadu, baagundi",te
T000596,E01634,3,"Driver was punctual and polite",en
T000597,E03809,5,"Vandi sariyana neratthil vanthathu",ta
T000598,E01154,5,"Driver samayaniki vachadu, baagundi",te
T000602,E00163,5,"Driver was punctual and polite",en
T000611,E02565,3,"Driver was punctual and polite",en
T000612,E00561,5,"Driver was punctual and polite",en
T000614,E02427,5,"Driver was punctual and polite",en
T000615,E02343,3,"Cab samay par aaya, driver acha tha",hi
T000617,E02170,4,"Cab samayakke bantu, chennagitru",kn
T000619,E00516,5,"Driver was punctual and polite",en
T000620,E02683,5,"Driver was punctual and polite",en
T000622,E03220,4,"Driver was punctual and polite",en
T000625,E03957,3,"Driver was punctual and polite",en
T000626,E03583,3,"Driver was punctual and polite",en
T000628,E02471,4,"Driver samayaniki vachadu, baagundi",te
T000632,E02787,3,"Driver was punctual and polite",en
T000633,E03505,5,"Driver was punctual and polite",en
T000636,E00053,3,"Driver was punctual and polite",en
T000643,E03693,4,"Driver samayaniki vachadu, baagundi",te
T000644,E00170,3,"Driver was punctual and polite",en
T000645,E01356,4,"Driver samayaniki vachadu, baagundi",te
T000650,E03207,3,"Driver samayaniki vachadu, baagundi",te
T000652,E03721,5,"Driver was punctual and polite",en
T000654,E02048,4,"Driver was punctual and polite",en
T000655,E03024,3,"Driver was punctual and polite",en
T000656,E01849,5,"Cab samayakke bantu, chennagitru",kn
T992601,E02359,4,"Cab samayakke bantu, chennagitru",kn
T000672,E02565,5,"Driver was punctual and polite",en
T000675,E02423,5,"Driver was punctual and polite",en
T000676,E03564,3,"Driver was punctual and polite",en
T000678,E02352,3,"Driver was punctual and polite",en
T000686,E00310,3,"Cab samay par aaya, driver acha tha",hi
T993610,E01139,3,"Cab samay par aaya, driver acha tha",hi
T000689,E02737,4,"Cab samayakke bantu, chennagitru",kn
T000691,E01285,3,"Driver was punctual and polite",en
T000692,E01530,3,"Driver was punctual and polite",en
T000697,E02821,4,"Driver was punctual and polite",en
T000698,E00421,3,"Driver was punctual and polite",en
T993135,E02443,5,"Driver was punctual and polite",en
T000702,E00452,4,"Driver was punctual and polite",en
T000705,E02844,4,"Cab samayakke bantu, chennagitru",kn
T000706,E03318,5,"Vandi sariyana neratthil vanthathu",ta
T000717,E03034,5,"Vandi sariyana neratthil vanthathu",ta
T000721,E02099,4,"Driver was punctual and polite",en
T000722,E00210,3,"Cab samayakke bantu, chennagitru",kn
T000727,E00276,5,"Cab samayakke bantu, chennagitru",kn
T000729,E00700,3,"Cab samay par aaya, driver acha tha",hi
T000731,E02522,3,"Vandi sariyana neratthil vanthathu",ta
T000732,E00431,5,"Driver was punctual and polite",en
T000735,E00574,4,"Cab samayakke bantu, chennagitru",kn
T000739,E00828,5,"Vandi sariyana neratthil vanthathu",ta
T000740,E01276,3,"Cab samay par aaya, driver acha tha",hi
T000748,E03710,4,"Driver samayaniki vachadu, baagundi",te
T000754,E02132,5,"Driver was punctual and polite",en
T000755,E01029,5,"Driver was punctual and polite",en
T000760,E01782,4,"Driver was punctual and polite",en
T000764,E02605,3,"Driver was punctual and polite",en
T000768,E02971,3,"Driver was punctual and polite",en
T000769,E02458,4,"Driver was punctual and polite",en
T000774,E01862,3,"Driver samayaniki vachadu, baagundi",te
T000776,E00175,3,"Driver was punctual and polite",en
T000781,E03563,3,"Cab samayakke bantu, chennagitru",kn
T000783,E00641,4,"Driver was punctual and polite",en
T000785,E03536,4,"Cab samay par aaya, driver acha tha",hi
T000786,E00876,5,"Driver was punctual and polite",en
T991029,E01053,4,"Driver was punctual and polite",en
T000795,E03320,3,"Cab samayakke bantu, chennagitru",kn
T000799,E02644,5,"Driver was punctual and polite",en
T000801,E03663,3,"Driver was punctual and polite",en
T000802,E01053,5,"Driver was punctual and polite",en
T000805,E01276,3,"Driver was punctual and polite",en
T000808,E03843,1,"Waited forty minutes with no update",en
T000811,E01480,4,"Driver was punctual and polite",en
T000812,E00019,5,"Driver was punctual and polite",en
T000815,E00351,2,"Waited forty minutes with no update",en
T000822,E02437,4,"Cab samay par aaya, driver acha tha",hi
T000827,E02006,3,"Driver samayaniki vachadu, baagundi",te
T000834,E01278,5,"Driver was punctual and polite",en
T000835,E03851,5,"Cab samayakke bantu, chennagitru",kn
T000836,E01534,3,"Driver was punctual and polite",en
T000837,E02489,5,"Driver was punctual and polite",en
T000839,E00988,5,"Driver was punctual and polite",en
T000843,E02720,4,"Driver was punctual and polite",en
T000844,E03216,3,"Vandi sariyana neratthil vanthathu",ta
T000846,E03205,2,"Cab chala late ayindi, sammachaaram ledu",te
T000847,E03212,2,"Waited forty minutes with no update",en
T000854,E00339,5,"Driver was punctual and polite",en
T000857,E02920,4,"Driver was punctual and polite",en
T000859,E00413,5,"Driver was punctual and polite",en
T000860,E02786,3,"Driver was punctual and polite",en
T000862,E03057,4,"Vandi sariyana neratthil vanthathu",ta
T000863,E00601,4,"Driver was punctual and polite",en
T000864,E02939,1,"Waited forty minutes with no update",en
T000866,E00650,5,"Driver was punctual and polite",en
T000869,E00347,5,"Driver was punctual and polite",en
T000870,E00386,3,"Cab samay par aaya, driver acha tha",hi
T000872,E03674,3,"Driver was punctual and polite",en
T000874,E02435,3,"Cab samay par aaya, driver acha tha",hi
T000875,E01490,5,"Driver was punctual and polite",en
T000878,E00561,5,"Cab samayakke bantu, chennagitru",kn
T000881,E01324,5,"Driver was punctual and polite",en
T000882,E01919,3,"Cab samay par aaya, driver acha tha",hi
T000883,E02457,5,"Cab samayakke bantu, chennagitru",kn
T000886,E03532,3,"Driver was punctual and polite",en
T000887,E02208,3,"Driver was punctual and polite",en
T000890,E00902,5,"Driver was punctual and polite",en
T000894,E03564,5,"Driver was punctual and polite",en
T000895,E02748,5,"Driver was punctual and polite",en
T000897,E01677,5,"Vandi sariyana neratthil vanthathu",ta
T000900,E03514,5,"Driver samayaniki vachadu, baagundi",te
T000903,E00345,4,"Vandi sariyana neratthil vanthathu",ta
T000905,E03992,5,"Cab samay par aaya, driver acha tha",hi
T000906,E02221,3,"Driver was punctual and polite",en
T000909,E03630,5,"Cab samayakke bantu, chennagitru",kn
T995012,E02372,4,"Cab samay par aaya, driver acha tha",hi
T000916,E02503,4,"Cab samayakke bantu, chennagitru",kn
T000919,E02402,5,"Cab samayakke bantu, chennagitru",kn
T000921,E02774,1,"Waited forty minutes with no update",en
T000922,E03202,3,"Driver was punctual and polite",en
T000923,E01747,4,"Cab samayakke bantu, chennagitru",kn
T000925,E00502,4,"Driver was punctual and polite",en
T000926,E02164,4,"Driver was punctual and polite",en
T000928,E02158,4,"Driver was punctual and polite",en
T000929,E01945,5,"Driver was punctual and polite",en
T993079,E03422,5,"Driver was punctual and polite",en
T000933,E01461,5,"Driver was punctual and polite",en
T000936,E03399,4,"Driver samayaniki vachadu, baagundi",te
T991689,E00399,4,"Vandi sariyana neratthil vanthathu",ta
T000939,E02787,3,"Driver was punctual and polite",en
T000941,E02059,4,"Driver samayaniki vachadu, baagundi",te
T000946,E01604,3,"Driver was punctual and polite",en
T000949,E01714,1,"Cab tumba late aytu, maahiti sigalilla",kn
T000950,E01920,5,"Driver samayaniki vachadu, baagundi",te
T997406,E02034,4,"Driver was punctual and polite",en
T000955,E02996,5,"Cab samay par aaya, driver acha tha",hi
T000957,E03460,4,"Driver was punctual and polite",en
T000959,E01955,5,"Driver was punctual and polite",en
T000960,E02119,3,"Driver was punctual and polite",en
T000965,E00757,4,"Driver was punctual and polite",en
T000971,E01849,4,"Driver was punctual and polite",en
T000972,E01848,4,"Driver was punctual and polite",en
T000973,E00329,5,"Cab samay par aaya, driver acha tha",hi
T000974,E00629,3,"Cab samayakke bantu, chennagitru",kn
T000976,E01287,4,"Vandi sariyana neratthil vanthathu",ta
T000981,E00077,3,"Vandi sariyana neratthil vanthathu",ta
T000983,E00866,4,"Driver was punctual and polite",en
T000985,E02697,3,"Driver was punctual and polite",en
T000988,E02434,4,"Cab samay par aaya, driver acha tha",hi
T000993,E00315,5,"Cab samayakke bantu, chennagitru",kn
T000996,E00736,5,"Driver samayaniki vachadu, baagundi",te
T000999,E02962,3,"Driver was punctual and polite",en
T001000,E01746,5,"Driver samayaniki vachadu, baagundi",te
T001002,E02076,4,"Driver was punctual and polite",en
T001005,E01207,5,"Driver was punctual and polite",en
T001009,E02245,3,"Driver was punctual and polite",en
T001010,E00501,5,"Driver was punctual and polite",en
T001012,E02032,5,"Driver was punctual and polite",en
T001014,E01499,3,"Driver was punctual and polite",en
T001017,E03759,4,"Vandi sariyana neratthil vanthathu",ta
T001019,E03193,5,"Driver was punctual and polite",en
T001023,E03893,4,"Cab samay par aaya, driver acha tha",hi
T001025,E01091,4,"Driver was punctual and polite",en
T001026,E01555,1,"Cab bahut late tha, koi soochna nahi mili",hi
T001027,E00376,4,"Driver was punctual and polite",en
T001029,E01890,3,"Vandi sariyana neratthil vanthathu",ta
T001035,E01216,3,"Driver was punctual and polite",en
T001037,E02944,4,"Vandi sariyana neratthil vanthathu",ta
T001044,E01845,5,"Driver was punctual and polite",en
T001047,E00962,4,"Driver was punctual and polite",en
T001050,E00367,4,"Driver was punctual and polite",en
T001054,E03850,4,"Driver was punctual and polite",en
T001068,E03737,3,"Driver was punctual and polite",en
T001072,E02350,4,"Driver was punctual and polite",en
T001073,E02246,5,"Driver was punctual and polite",en
T001077,E03764,4,"Driver was punctual and polite",en
T001078,E00016,5,"Driver samayaniki vachadu, baagundi",te
T001081,E00331,3,"Driver was punctual and polite",en
T001082,E03206,4,"Driver was punctual and polite",en
T001084,E03435,5,"Driver was punctual and polite",en
T001085,E02366,3,"Driver was punctual and polite",en
T001096,E01447,3,"Driver was punctual and polite",en
T001099,E02551,3,"Driver was punctual and polite",en
T001104,E01652,1,"Waited forty minutes with no update",en
T001106,E02664,4,"Vandi sariyana neratthil vanthathu",ta
T001114,E01643,4,"Driver was punctual and polite",en
T001115,E00626,4,"Driver was punctual and polite",en
T001116,E03672,4,"Vandi sariyana neratthil vanthathu",ta
T001117,E03887,1,"Waited forty minutes with no update",en
T001124,E02397,5,"Driver was punctual and polite",en
T001125,E03870,5,"Driver was punctual and polite",en
T001126,E02330,3,"Driver was punctual and polite",en
T001129,E01230,3,"Vandi sariyana neratthil vanthathu",ta
T001131,E00691,3,"Cab samay par aaya, driver acha tha",hi
T001135,E02816,4,"Vandi sariyana neratthil vanthathu",ta
T001137,E03196,3,"Driver was punctual and polite",en
T001140,E00447,3,"Vandi sariyana neratthil vanthathu",ta
T001142,E00058,5,"Driver was punctual and polite",en
T001143,E01197,3,"Cab samay par aaya, driver acha tha",hi
T001147,E03697,4,"Cab samay par aaya, driver acha tha",hi
T001148,E03195,5,"Driver was punctual and polite",en
T001153,E02524,3,"Driver was punctual and polite",en
T001163,E02367,3,"Driver was punctual and polite",en
T001165,E03695,4,"Cab samayakke bantu, chennagitru",kn
T001167,E00066,3,"Driver was punctual and polite",en
T001171,E01241,5,"Cab samayakke bantu, chennagitru",kn
T001173,E00487,5,"Cab samay par aaya, driver acha tha",hi
T001177,E01670,5,"Vandi sariyana neratthil vanthathu",ta
T001186,E02089,5,"Driver was punctual and polite",en
T001187,E00512,3,"Driver was punctual and polite",en
T001192,E00721,4,"Vandi sariyana neratthil vanthathu",ta
T001198,E01806,4,"Cab samay par aaya, driver acha tha",hi
T001203,E01578,5,"Cab samayakke bantu, chennagitru",kn
T001205,E03378,4,"Driver was punctual and polite",en
T001206,E03120,2,"Cab bahut late tha, koi soochna nahi mili",hi
T001210,E03062,3,"Driver was punctual and polite",en
T001213,E00475,3,"Driver was punctual and polite",en
T001214,E00365,5,"Driver was punctual and polite",en
T001219,E00652,5,"Cab samayakke bantu, chennagitru",kn
T001220,E02535,5,"Driver was punctual and polite",en
T001222,E02088,4,"Cab samay par aaya, driver acha tha",hi
T001224,E03375,3,"Driver samayaniki vachadu, baagundi",te
T001225,E02564,5,"Driver was punctual and polite",en
T001238,E02992,3,"Vandi sariyana neratthil vanthathu",ta
T001239,E01383,5,"Driver was punctual and polite",en
T001241,E03999,3,"Driver was punctual and polite",en
T999209,E01648,3,"Driver was punctual and polite",en
T001244,E02419,1,"Cab tumba late aytu, maahiti sigalilla",kn
T001246,E01555,5,"Cab samay par aaya, driver acha tha",hi
T001249,E00737,4,"Driver was punctual and polite",en
T001250,E03947,3,"Driver samayaniki vachadu, baagundi",te
T001252,E01071,5,"Cab samayakke bantu, chennagitru",kn
T001253,E00773,3,"Driver was punctual and polite",en
T001254,E02358,4,"Driver was punctual and polite",en
T001255,E01621,3,"Driver was punctual and polite",en
T001261,E03886,4,"Cab samay par aaya, driver acha tha",hi
T001265,E03422,3,"Driver was punctual and polite",en
T001267,E00588,3,"Driver was punctual and polite",en
T001268,E01817,3,"Driver was punctual and polite",en
T001270,E03974,4,"Driver was punctual and polite",en
T001275,E02214,3,"Driver was punctual and polite",en
T001281,E01136,3,"Driver was punctual and polite",en
T001283,E00369,4,"Driver was punctual and polite",en
T001285,E03565,5,"Driver was punctual and polite",en
T001287,E02250,4,"Cab samay par aaya, driver acha tha",hi
T001288,E00863,4,"Driver was punctual and polite",en
T001294,E03803,3,"Cab samay par aaya, driver acha tha",hi
T001295,E00598,3,"Vandi sariyana neratthil vanthathu",ta
T001299,E03108,5,"Driver was punctual and polite",en
T001300,E03557,3,"Driver was punctual and polite",en
T001302,E01196,4,"Driver was punctual and polite",en
T001303,E02032,5,"Driver was punctual and polite",en
T001306,E01182,3,"Vandi sariyana neratthil vanthathu",ta
T001313,E01540,5,"Driver was punctual and polite",en
T001317,E03691,5,"Cab samayakke bantu, chennagitru",kn
T001318,E00788,3,"Driver was punctual and polite",en
T001320,E02957,5,"Driver was punctual and polite",en
T001321,E03357,5,"Cab samayakke bantu, chennagitru",kn
T001322,E00915,4,"Driver was punctual and polite",en
T001323,E03834,3,"Cab samay par aaya, driver acha tha",hi
T001327,E00721,3,"Cab samayakke bantu, chennagitru",kn
T001330,E02514,3,"Cab samayakke bantu, chennagitru",kn
T001337,E01601,5,"Driver was punctual and polite",en
T001340,E02663,4,"Vandi sariyana neratthil vanthathu",ta
T001341,E01228,5,"Driver was punctual and polite",en
T001342,E00606,5,"Driver was punctual and polite",en
T001344,E02367,4,"Driver was punctual and polite",en
T001345,E01418,4,"Driver samayaniki vachadu, baagundi",te
T001348,E03801,3,"Cab samay par aaya, driver acha tha",hi
T001351,E01668,5,"Vandi sariyana neratthil vanthathu",ta
T001352,E02797,4,"Driver samayaniki vachadu, baagundi",te
T001356,E01090,3,"Driver samayaniki vachadu, baagundi",te
T001364,E03485,5,"Driver was punctual and polite",en
T001367,E03926,4,"Driver was punctual and polite",en
T001369,E03112,4,"Driver was punctual and polite",en
T001372,E00127,3,"Cab samayakke bantu, chennagitru",kn
T001374,E03745,3,"Driver was punctual and polite",en
T001375,E00316,4,"Driver was punctual and polite",en
T001377,E00646,5,"Driver was punctual and polite",en
T001381,E02814,3,"Cab samay par aaya, driver acha tha",hi
T001383,E01905,4,"Driver was punctual and polite",en
T001385,E02663,3,"Driver samayaniki vachadu, baagundi",te
T001387,E03060,2,"Waited forty minutes with no update",en
T001390,E01413,3,"Driver was punctual and polite",en
T001391,E03054,4,"Driver was punctual and polite",en
T001393,E02898,5,"Driver was punctual and polite",en
T001394,E01565,5,"Vandi sariyana neratthil vanthathu",ta
T001395,E03466,5,"Cab samay par aaya, driver acha tha",hi
T001398,E00304,5,"Driver was punctual and polite",en
T001400,E03083,4,"Cab samayakke bantu, chennagitru",kn
T001403,E01519,3,"Driver was punctual and polite",en
T001407,E03766,5,"Vandi sariyana neratthil vanthathu",ta
T001408,E02234,4,"Driver samayaniki vachadu, baagundi",te
T997596,E02854,1,"Cab bahut late tha, koi soochna nahi mili",hi
T001412,E03941,4,"Driver was punctual and polite",en
T001413,E03720,5,"Driver was punctual and polite",en
T001416,E01491,3,"Vandi sariyana neratthil vanthathu",ta
T001418,E02661,3,"Driver samayaniki vachadu, baagundi",te
T001422,E03137,4,"Driver was punctual and polite",en
T001424,E01600,4,"Driver was punctual and polite",en
T001433,E00467,4,"Driver was punctual and polite",en
T001438,E03293,4,"Driver samayaniki vachadu, baagundi",te
T001439,E00121,5,"Driver was punctual and polite",en
T001440,E01058,3,"Cab samayakke bantu, chennagitru",kn
T001441,E01922,3,"Driver samayaniki vachadu, baagundi",te
T001444,E02088,4,"Cab samay par aaya, driver acha tha",hi
T001445,E01360,4,"Driver was punctual and polite",en
T001446,E03543,3,"Driver was punctual and polite",en
T001450,E00354,5,"Driver was punctual and polite",en
T001455,E01752,3,"Driver samayaniki vachadu, baagundi",te
T001459,E01067,4,"Driver samayaniki vachadu, baagundi",te
T001461,E01087,5,"Driver was punctual and polite",en
T001462,E01146,4,"Vandi sariyana neratthil vanthathu",ta
T001463,E00285,1,"Waited forty minutes with no update",en
T001467,E00741,3,"Driver was punctual and polite",en
