trip_id,vendor_id,base_inr,km_inr,wait_inr,total_inr
T000071,V11,162,480,44,686
T000072,V09,148,126,68,342
T000073,V02,169,572,14,755
T000074,V10,171,326,65,562
T000075,V11,148,414,22,584
T000076,V02,137,377,27,541
T000077,V07,141,314,53,508
T000078,V07,147,356,115,618
T000079,V08,133,368,18,519
T000080,V03,186,197,66,449
T000081,V05,199,501,19,719
T000082,V03,149,132,65,346
T000083,V05,122,475,33,630
T000084,V08,183,568,49,800
T000085,V04,142,260,54,456
T000086,V02,141,254,57,452
T998054,V10,123,230,16,369
T000088,V10,181,340,24,545
T000089,V10,185,600,37,822
T000090,V06,132,623,13,768
T000091,V08,169,442,20,631
T000092,V11,197,328,48,573
T000093,V02,164,228,31,423
T000094,V03,163,145,18,326
T000095,V07,176,185,90,451
T000096,V11,125,202,11,338
T000097,V09,164,387,58,609
T000098,V12,180,301,18,499
T000099,V07,122,598,148,868
T000100,V08,123,535,27,685
T000101,V02,189,595,66,850
T000102,V12,166,433,67,666
T000103,V01,172,533,39,744
T000104,V09,123,444,36,603
T000105,V04,165,231,43,439
T000106,V12,179,554,56,789
T000107,V05,154,578,51,783
T000108,V10,137,502,40,679
T991940,V10,190,571,60,821
T000110,V05,158,430,15,603
T000111,V08,175,426,47,648
T000112,V04,147,437,68,652
T000113,V04,173,588,53,814
T000114,V11,197,281,26,504
T000115,V04,149,225,27,401
T000116,V06,173,526,32,731
T000117,V11,179,521,62,762
T000118,V04,139,575,35,749
T000119,V02,174,246,21,441
T000120,V09,186,271,28,485
T000121,V09,166,408,66,640
T000122,V06,176,428,34,638
T000123,V03,181,582,53,816
T000124,V10,157,494,29,680
T000125,V02,176,408,67,651
T000126,V03,169,211,11,391
T000127,V10,197,207,16,420
T000128,V03,152,143,31,326
T000129,V04,125,440,41,606
T000130,V08,151,163,40,354
T000131,V07,136,574,140,850
T000132,V04,125,240,42,407
T000133,V10,149,160,61,370
T000134,V07,189,455,126,770
T000135,V06,153,464,60,677
T000136,V10,176,187,22,385
T000137,V03,180,604,14,798
T000138,V05,157,302,21,480
T000139,V11,178,242,18,438
T000140,V10,179,357,58,594
T000141,V06,133,407,66,606
T000142,V03,123,686,30,839
T000143,V06,173,295,41,509
T000144,V12,120,657,20,797
T000145,V05,146,307,17,470
T000146,V04,184,459,28,671
T000147,V12,150,425,25,600
T997602,V03,145,443,49,637
T000149,V11,189,490,55,734
T000150,V05,123,603,45,771
T000151,V01,168,210,52,430
T000152,V10,180,515,36,731
T000153,V09,135,315,67,517
T000154,V12,137,231,60,428
T000155,V11,125,157,30,312
T000156,V04,126,613,39,778
T000157,V06,146,356,22,524
T000158,V09,187,386,42,615
T000159,V05,188,643,57,888
T000160,V02,137,399,66,602
T000161,V04,135,316,15,466
T000162,V05,162,573,22,757
T000163,V02,141,304,18,463
T000164,V03,180,540,63,783
T000165,V04,158,395,48,601
T000166,V03,127,550,10,687
T000167,V05,153,444,18,615
T000168,V06,194,498,18,710
T000169,V12,160,374,56,590
T000170,V06,177,497,56,730
T000171,V09,168,276,33,477
T000172,V06,161,581,52,794
T000173,V02,198,498,62,758
T000174,V07,122,294,166,582
T000175,V02,178,292,36,506
T000176,V10,196,631,49,876
T000177,V02,199,178,55,432
T000178,V03,122,147,18,287
T000179,V04,161,228,39,428
T000180,V01,121,398,51,570
T000181,V01,141,199,47,387
T000182,V08,145,440,47,632
T000183,V05,139,152,62,353
T000184,V02,194,174,43,411
T000185,V12,143,373,64,580
T000186,V09,192,211,40,443
T000187,V08,139,381,35,555
T000188,V04,176,175,62,413
T000189,V12,135,396,68,599
T000190,V11,152,149,57,358
T000191,V07,121,332,78,531
T000192,V06,162,336,48,546
T000193,V01,140,189,65,394
T000194,V09,168,376,26,570
T000195,V03,173,291,49,513
T000196,V11,137,246,34,417
T000197,V12,120,329,56,505
T000198,V02,147,588,28,763
T000199,V06,143,458,19,620
T000200,V08,198,550,20,768
T000201,V02,147,522,69,738
T000202,V08,183,198,68,449
T000203,V10,152,254,42,448
T000204,V03,153,285,34,472
T000205,V03,197,571,55,823
T000206,V05,149,241,29,419
T000207,V06,193,649,27,869
T000208,V02,195,589,63,847
T000209,V12,183,388,61,632
T000210,V01,174,613,30,817
T000211,V04,178,349,45,572
T000212,V02,196,325,44,565
T000213,V02,145,428,62,635
T000214,V11,195,262,48,505
T000215,V03,148,617,46,811
T000216,V02,125,608,41,774
T000217,V01,188,124,27,339
T000218,V05,180,279,55,514
T996209,V10,158,364,26,548
T000220,V12,162,128,60,350
T000221,V02,146,502,18,666
T000222,V07,121,337,81,539
T990463,V10,139,310,16,465
T000224,V12,197,510,51,758
T000225,V11,190,515,17,722
T000226,V06,197,556,39,792
T000227,V08,145,130,59,334
T000228,V06,134,141,37,312
T000229,V07,139,443,85,667
T000230,V10,167,662,32,861
T000231,V11,165,504,57,726
T000232,V09,134,429,16,579
T000233,V11,133,461,53,647
T000234,V11,149,352,30,531
T000235,V09,135,463,26,624
T000236,V09,184,453,22,659
T000237,V05,183,564,28,775
T000238,V06,133,465,34,632
T000239,V07,148,516,53,717
T000240,V11,146,318,37,501
T000241,V09,191,331,16,538
T000242,V07,169,123,69,361
T000243,V10,169,483,33,685
T991665,V12,150,577,21,748
T000245,V04,194,493,66,753
T000246,V02,196,217,49,462
T000247,V12,179,592,24,795
T000248,V11,167,195,37,399
T000249,V04,143,379,65,587
T000250,V02,134,557,37,728
T000251,V04,133,352,16,501
T000252,V10,149,595,18,762
T000253,V11,190,204,11,405
T000254,V06,177,567,41,785
T000255,V02,159,270,22,451
T000256,V05,132,454,60,646
T000257,V12,180,525,24,729
T995463,V01,176,190,31,397
T000259,V12,120,537,18,675
T000260,V04,138,448,30,616
T000261,V02,128,633,47,808
T000262,V09,168,119,26,313
T000263,V02,164,407,48,619
T000264,V03,150,141,69,360
T000265,V07,199,294,121,614
T999472,V04,199,114,58,371
T992937,V05,161,536,56,753
T000268,V11,172,309,37,518
T000269,V04,197,277,49,523
T000270,V02,146,118,44,308
T000271,V01,163,123,59,345
T000272,V02,175,426,18,619
T000273,V06,165,448,24,637
T000274,V11,148,165,53,366
T000275,V09,182,280,68,530
T000276,V10,183,220,58,461
T000277,V03,131,145,27,303
T000278,V06,190,248,60,498
T000279,V02,157,610,55,822
T000280,V06,145,190,52,387
T000281,V02,148,299,44,491
T000282,V08,172,349,20,541
T994899,V07,188,194,117,499
T000284,V03,164,130,36,330
T000285,V11,173,220,37,430
T000286,V08,133,241,48,422
T000287,V06,174,204,46,424
T000288,V11,191,304,56,551
T000289,V10,126,471,44,641
T000290,V11,186,122,13,321
T994769,V11,151,221,32,404
T000292,V10,169,199,48,416
T000293,V05,188,300,62,550
T000294,V12,190,415,54,659
T993172,V09,166,330,52,548
T000296,V05,160,600,52,812
T000297,V07,177,125,101,403
T000298,V09,150,252,41,443
T000299,V08,186,354,20,560
T000300,V07,181,512,49,742
T000301,V07,122,469,57,648
T000302,V12,170,270,30,470
T000303,V10,121,343,51,515
T000304,V04,122,174,37,333
T000305,V08,186,390,28,604
T000306,V10,150,293,42,485
T000307,V09,186,383,35,604
T000308,V12,136,292,27,455
T000309,V03,193,244,53,490
T000310,V02,194,525,25,744
T000311,V01,173,541,48,762
T000312,V06,179,335,52,566
T000313,V12,172,536,63,771
T000314,V01,131,525,65,721
T000315,V05,144,384,18,546
T000316,V05,179,360,54,593
T000317,V03,154,258,47,459
T990840,V01,143,149,57,349
T000319,V10,186,407,31,624
T000320,V05,179,299,31,509
T000321,V11,134,534,16,684
T000322,V10,199,481,56,736
T000323,V07,133,593,191,917
T000324,V05,149,276,56,481
T000325,V05,125,556,64,745
T000326,V01,141,435,59,635
T000327,V05,152,357,63,572
T000328,V08,175,324,64,563
T000329,V12,159,611,54,824
T000330,V03,193,655,62,910
T000331,V07,143,480,188,811
T000332,V11,151,447,55,653
T000333,V03,152,493,42,687
T000334,V08,136,499,35,670
T000335,V09,168,333,18,519
T000336,V12,191,441,31,663
T000337,V11,179,576,21,776
T000338,V05,199,508,52,759
T000339,V05,158,310,21,489
T000340,V10,190,302,27,519
T000341,V12,127,325,67,519
T000342,V04,178,449,35,662
T000343,V06,191,485,61,737
T000344,V06,166,300,40,506
T000345,V10,167,211,17,395
T000346,V03,157,138,48,343
T000347,V06,150,650,33,833
T000348,V03,174,228,46,448
T000349,V02,184,250,23,457
T000350,V01,190,603,17,810
T000351,V04,144,357,60,561
T000352,V11,184,153,59,396
T000353,V02,126,432,30,588
T000354,V06,136,437,48,621
T000355,V06,137,296,67,500
T000356,V10,154,331,54,539
T000357,V01,151,203,61,415
T000358,V02,128,561,40,729
T000359,V01,191,393,54,638
T000360,V03,169,428,13,610
T000361,V08,173,504,67,744
T000362,V08,186,345,11,542
T000363,V03,158,232,23,413
T000364,V02,184,618,58,860
T000365,V03,143,523,63,729
T000366,V07,124,548,58,730
T992994,V12,145,215,12,372
T990688,V02,129,298,23,450
T000369,V06,198,477,66,741
T000370,V12,138,435,57,630
T000371,V07,169,552,129,850
T000372,V12,192,262,47,501
T000373,V10,156,476,42,674
T000374,V03,144,540,42,726
T000375,V12,130,485,35,650
T000376,V04,127,386,33,546
T000377,V06,175,156,39,370
T000378,V10,195,562,31,788
T000379,V09,123,232,38,393
T000380,V08,164,356,63,583
T000381,V01,143,168,64,375
T000382,V05,124,543,58,725
T000383,V09,181,658,51,890
T000384,V02,183,641,13,837
T000385,V07,139,604,82,825
T000386,V06,132,144,25,301
T000387,V11,144,227,11,382
T000388,V09,177,498,52,727
T000389,V04,166,413,46,625
T000390,V02,162,164,67,393
T000391,V05,190,366,18,574
T000392,V03,154,392,47,593
T000393,V04,190,125,19,334
T000394,V09,175,200,22,397
T000395,V12,190,349,50,589
T000396,V05,122,210,41,373
T000397,V12,197,403,51,651
T000398,V04,132,358,29,519
T000399,V11,192,595,58,845
T000400,V08,170,251,16,437
T000401,V08,140,353,63,556
T000402,V04,170,548,59,777
T000403,V11,182,368,51,601
T000404,V06,131,369,55,555
T000405,V03,194,558,22,774
T000406,V07,136,608,103,847
T000407,V12,145,615,13,773
T000408,V06,189,674,43,906
T000409,V01,184,558,31,773
T000410,V11,168,149,30,347
T999331,V04,175,556,18,749
T000412,V10,135,480,27,642
T000413,V09,143,309,57,509
T000414,V07,150,459,161,770
T000415,V03,181,148,65,394
T000416,V07,173,175,102,450
T000417,V08,163,370,53,586
T000418,V01,136,332,63,531
T999662,V05,132,136,38,306
T000420,V05,179,614,53,846
T000421,V11,152,168,37,357
T000422,V07,151,124,113,388
T000423,V08,190,566,21,777
T000424,V10,196,175,69,440
T000425,V08,126,406,53,585
T000426,V04,148,464,39,651
T000427,V11,189,152,51,392
T000428,V03,199,375,43,617
T000429,V10,196,146,59,401
T000430,V05,158,389,47,594
T000431,V10,122,271,46,439
T000432,V10,154,504,36,694
T000433,V02,157,596,29,782
T000434,V06,193,624,21,838
T000435,V07,185,675,58,918
T000436,V02,169,299,60,528
T000437,V06,174,365,29,568
T000438,V06,155,143,53,351
T000439,V02,125,481,37,643
T000440,V03,160,190,56,406
T000441,V10,123,193,15,331
T000442,V01,167,252,25,444
T000443,V12,125,195,18,338
T000444,V03,141,633,36,810
T000445,V03,154,450,57,661
T000446,V07,178,216,130,524
T000447,V05,156,186,30,372
T000448,V09,186,281,61,528
T000449,V08,126,374,21,521
T000450,V02,185,391,27,603
T994328,V09,190,544,68,802
T990164,V09,122,235,52,409
T000453,V05,138,639,13,790
T000454,V05,180,582,43,805
T000455,V04,174,384,29,587
T000456,V02,137,178,41,356
T000457,V11,161,381,10,552
T000458,V06,143,225,30,398
T000459,V02,155,546,25,726
T000460,V12,175,497,64,736
T000461,V05,167,529,26,722
T000462,V06,197,218,22,437
T000463,V06,161,299,53,513
T000464,V07,157,638,125,920
T000465,V10,182,154,17,353
T000466,V01,134,358,39,531
T996908,V09,151,538,41,730
T000468,V01,133,649,28,810
T000469,V01,163,417,56,636
T000470,V02,136,290,38,464
T000471,V03,192,225,44,461
T000472,V09,187,589,66,842
T000473,V09,181,254,48,483
T000474,V05,191,247,63,501
T000475,V08,191,266,65,522
T000476,V06,161,450,52,663
T000477,V05,152,537,51,740
T000478,V08,166,264,22,452
T000479,V08,179,118,27,324
T000480,V02,125,364,63,552
T000481,V08,189,152,48,389
T000482,V09,162,149,42,353
T000483,V01,140,333,61,534
T000484,V01,167,257,16,440
T000485,V09,129,152,44,325
T000486,V04,154,152,24,330
T000487,V05,183,393,37,613
T000488,V08,179,281,31,491
T000489,V11,195,148,15,358
T000490,V03,132,413,17,562
T000491,V01,164,486,65,715
T000492,V02,137,390,17,544
T000493,V10,129,561,22,712
T000494,V02,136,570,36,742
T000495,V06,160,599,37,796
T000496,V07,144,466,168,778
T000497,V12,171,182,53,406
T000498,V09,123,140,35,298
T000499,V11,138,179,38,355
T000500,V09,173,309,11,493
T000501,V04,158,552,17,727
T000502,V06,164,404,50,618
T000503,V02,177,282,47,506
T000504,V12,199,362,36,597
T000505,V12,136,570,46,752
T000506,V04,170,491,29,690
T000507,V02,147,466,38,651
T000508,V02,166,160,54,380
T000509,V03,121,254,54,429
T000510,V01,178,409,25,612
T000511,V03,158,270,32,460
T000512,V08,126,464,65,655
T000513,V09,159,379,31,569
T000514,V12,180,478,35,693
T000515,V04,146,143,48,337
T000516,V11,120,441,61,622
T000517,V04,153,149,67,369
T000518,V08,167,445,55,667
T000519,V06,157,473,66,696
T000520,V03,153,472,28,653
T000521,V03,164,555,43,762
T000522,V06,191,457,21,669
T000523,V03,141,385,21,547
T000524,V08,135,510,49,694
T000525,V09,176,395,10,581
T000526,V02,133,507,42,682
T000527,V02,192,479,32,703
T000528,V01,138,415,62,615
T000529,V10,122,213,38,373
T000530,V02,127,292,58,477
T000531,V01,181,219,31,431
T000532,V09,168,175,54,397
T000533,V07,130,360,133,623
T000534,V09,194,134,62,390
T000535,V06,124,475,27,626
T000536,V06,182,293,27,502
T000537,V06,198,528,53,779
T000538,V03,166,366,59,591
T000539,V11,193,564,61,818
T000540,V05,189,551,16,756
T000541,V09,133,519,45,697
T000542,V04,161,455,69,685
T000543,V12,180,516,45,741
T000544,V10,194,553,19,766
T000545,V12,156,394,47,597
T000546,V11,154,350,68,572
T000547,V01,163,238,31,432
T000548,V04,188,512,27,727
T000549,V04,139,306,56,501
T000550,V10,198,188,57,443
T000551,V10,125,328,48,501
T000552,V11,161,616,41,818
T000553,V12,191,548,52,791
T000554,V12,189,209,57,455
T000555,V04,128,124,62,314
T000556,V07,184,408,68,660
T000557,V10,168,473,20,661
T000558,V05,181,487,68,736
T000559,V10,155,577,19,751
T000560,V03,167,132,38,337
T000561,V06,148,618,68,834
T000562,V06,197,136,34,367
T000563,V10,156,579,52,787
T000564,V01,149,507,30,686
T000565,V11,162,300,69,531
T000566,V09,147,460,32,639
T000567,V01,145,254,43,442
T000568,V02,152,350,27,529
T000569,V01,143,492,60,695
T000570,V09,165,234,54,453
T000571,V01,138,325,19,482
T000572,V10,135,342,31,508
T000573,V02,123,520,16,659
T000574,V11,178,406,13,597
T000575,V09,148,249,26,423
T994041,V07,152,514,111,777
T000577,V04,181,572,37,790
T000578,V03,144,519,11,674
T000579,V04,134,419,45,598
T000580,V07,180,547,50,777
T000581,V06,160,583,69,812
T000582,V10,139,327,50,516
T000583,V08,192,186,62,440
T000584,V11,137,439,61,637
T000585,V04,192,156,39,387
T000586,V11,131,159,36,326
T000587,V10,129,178,48,355
T000588,V12,129,138,69,336
T000589,V03,161,166,45,372
T000590,V08,124,420,14,558
T000591,V11,181,382,30,593
T000592,V07,160,281,102,543
T000593,V10,176,397,11,584
T000594,V10,171,324,32,527
T000595,V03,185,409,58,652
T000596,V09,139,389,38,566
T000597,V04,137,315,41,493
T000598,V02,196,435,36,667
T000599,V04,122,618,31,771
T000600,V02,151,357,22,530
T000601,V10,152,368,56,576
T000602,V08,171,577,17,765
T000603,V07,163,211,173,547
T000604,V06,136,604,41,781
T000605,V12,155,279,61,495
T000606,V01,167,541,52,760
T000607,V07,178,235,127,540
T000608,V12,163,383,59,605
T000609,V06,141,218,47,406
T000610,V07,185,418,171,774
T000611,V04,179,285,67,531
T000612,V12,123,479,17,619
T000613,V07,140,351,142,633
T000614,V01,153,369,31,553
T000615,V03,162,459,15,636
T000616,V05,198,619,35,852
T000617,V02,179,155,32,366
T000618,V01,168,350,14,532
T000619,V01,140,562,49,751
T000620,V09,184,199,26,409
T000621,V11,143,363,43,549
T000622,V01,142,589,11,742
T000623,V04,157,443,30,630
T000624,V06,181,280,26,487
T000625,V01,140,217,54,411
T000626,V11,172,544,36,752
T000627,V05,147,615,53,815
T000628,V06,163,570,48,781
T999940,V10,136,533,22,691
T000630,V02,120,289,36,445
T000631,V07,157,274,184,615
T000632,V03,162,381,63,606
T000633,V10,128,625,69,822
T000634,V02,181,551,15,747
T000635,V08,181,326,33,540
T000636,V03,139,399,46,584
T000637,V12,155,600,15,770
T000638,V07,149,416,177,742
T000639,V05,136,239,41,416
T000640,V12,129,462,46,637
T000641,V12,190,599,52,841
T000642,V09,147,559,22,728
T000643,V12,152,517,39,708
T000644,V02,125,417,17,559
T000645,V09,139,168,25,332
T000646,V09,121,375,61,557
T000647,V05,167,215,15,397
T000648,V10,123,130,10,263
T000649,V10,182,306,39,527
T000650,V08,177,357,49,583
T000651,V07,121,333,48,502
T000652,V02,196,494,30,720
T000653,V04,191,143,47,381
T000654,V06,183,607,10,800
T000655,V07,192,382,190,764
T995945,V08,180,436,17,633
T000657,V08,178,128,49,355
T000658,V01,190,230,58,478
T000659,V02,159,260,60,479
T000660,V05,122,250,63,435
T000661,V04,168,239,58,465
T000662,V02,189,518,21,728
T000663,V06,130,411,51,592
T000664,V06,142,148,51,341
T000665,V06,179,435,41,655
T000666,V08,181,576,33,790
T000667,V02,197,474,63,734
T000668,V09,140,376,53,569
T000669,V08,131,137,46,314
T000670,V10,127,277,12,416
T000671,V01,154,387,26,567
T000672,V05,124,192,20,336
T000673,V10,169,195,23,387
T000674,V05,148,215,68,431
T000675,V09,193,340,69,602
T000676,V03,183,195,57,435
T000677,V03,180,433,34,647
T000678,V10,139,177,69,385
T000679,V05,185,203,61,449
T000680,V05,166,499,19,684
T000681,V11,198,476,26,700
T000682,V05,159,413,20,592
T000683,V08,180,189,30,399
T000684,V04,144,552,34,730
T000685,V09,143,405,26,574
T000686,V05,198,591,12,801
T000687,V02,131,552,69,752
T000688,V11,191,141,55,387
T000689,V12,159,426,44,629
T000690,V07,122,444,58,624
T000691,V08,165,215,47,427
T000692,V04,170,164,20,354
T000693,V02,183,149,38,370
T000694,V09,131,538,18,687
T000695,V03,155,637,54,846
T000696,V04,187,539,49,775
T000697,V02,120,226,23,369
T000698,V11,122,607,60,789
T000699,V01,151,202,46,399
T000700,V09,137,532,24,693
T000701,V07,178,278,92,548
T000702,V10,198,264,62,524
T000703,V01,135,228,36,399
T000704,V04,190,335,43,568
T000705,V11,133,533,53,719
T000706,V11,161,380,33,574
T000707,V07,189,340,198,727
T000708,V09,194,244,57,495
T000709,V10,194,431,30,655
T000710,V11,148,566,65,779
T000711,V05,185,439,59,683
T000712,V02,125,572,44,741
T000713,V05,137,490,20,647
T000714,V07,198,198,129,525
T000715,V02,124,182,44,350
T000716,V02,136,125,68,329
T000717,V09,156,235,17,408
T000718,V03,144,162,58,364
T000719,V05,166,307,51,524
T000720,V04,171,298,57,526
T000721,V12,169,307,33,509
T000722,V07,122,617,166,905
T000723,V10,168,332,56,556
T000724,V02,143,568,20,731
T000725,V07,195,451,139,785
T000726,V02,158,421,49,628
T000727,V10,161,249,67,477
T000728,V05,140,348,61,549
T000729,V12,169,153,60,382
T000730,V06,163,545,11,719
T000731,V05,164,380,63,607
T000732,V05,123,458,45,626
T000733,V12,189,597,13,799
T000734,V04,178,627,55,860
T000735,V10,128,520,25,673
T000736,V08,149,383,29,561
T000737,V05,125,648,29,802
T000738,V06,148,400,13,561
T000739,V04,165,505,60,730
T000740,V11,193,166,60,419
T000741,V10,156,309,60,525
T000742,V07,161,487,133,781
T995414,V09,181,199,51,431
T000744,V01,144,360,27,531
T000745,V04,149,464,51,664
T000746,V10,178,144,51,373
T000747,V10,175,166,14,355
T000748,V04,137,338,66,541
T000749,V03,171,515,31,717
T000750,V11,136,157,68,361
T000751,V07,168,657,101,926
T992744,V02,173,274,10,457
T000753,V03,153,409,58,620
T000754,V01,174,496,67,737
T000755,V08,165,322,58,545
T000756,V05,188,426,64,678
T000757,V03,150,227,14,391
T000758,V11,152,478,36,666
T000759,V01,144,564,23,731
T000760,V05,142,197,57,396
T000761,V03,150,309,42,501
T000762,V05,190,455,49,694
T000763,V05,179,486,60,725
T000764,V10,136,607,29,772
T000765,V10,190,535,53,778
T000766,V12,143,219,11,373
T000767,V06,131,590,19,740
T000768,V04,134,350,37,521
T000769,V02,177,148,14,339
T000770,V04,181,436,65,682
T000771,V12,134,469,11,614
T000772,V10,148,192,57,397
T000773,V11,180,416,19,615
T000774,V07,125,212,52,389
T000775,V04,143,367,46,556
T000776,V03,126,546,43,715
T000777,V11,173,235,18,426
T000778,V03,148,136,61,345
T000779,V03,164,173,55,392
T000780,V08,145,374,33,552
T000781,V08,158,491,26,675
T000782,V01,135,597,15,747
T000783,V11,167,340,20,527
T000784,V10,154,575,14,743
T000785,V09,189,476,34,699
T000786,V07,146,222,109,477
T000787,V05,127,407,28,562
T000788,V12,150,173,65,388
T000789,V08,127,138,28,293
T000790,V06,177,425,63,665
T000791,V04,191,204,38,433
T000792,V01,191,348,35,574
T000793,V01,167,297,51,515
T000794,V12,193,370,31,594
T000795,V05,173,227,43,443
T000796,V02,164,486,36,686
T000797,V06,122,441,36,599
T000798,V01,126,172,13,311
T995108,V08,156,514,30,700
T000800,V01,127,433,19,579
T000801,V05,130,170,56,356
T000802,V06,127,460,23,610
T000803,V12,123,448,26,597
T000804,V10,130,295,56,481
T000805,V08,126,126,31,283
T000806,V01,198,199,52,449
T000807,V06,161,320,54,535
T000808,V12,133,224,13,370
T000809,V01,177,432,51,660
T000810,V03,131,394,33,558
T000811,V12,198,150,20,368
T000812,V02,140,208,36,384
T000813,V01,148,345,65,558
T000814,V01,153,229,25,407
T000815,V04,166,586,10,762
T000816,V08,121,208,52,381
T000817,V03,179,347,24,550
T000818,V05,153,308,28,489
T000819,V07,123,184,154,461
T000820,V06,191,454,10,655
T000821,V12,185,303,18,506
T000822,V07,136,514,82,732
T998049,V03,128,157,10,295
T000824,V08,152,403,65,620
T000825,V03,170,195,20,385
T000826,V02,168,634,29,831
T000827,V03,125,208,52,385
T000828,V08,152,286,27,465
T000829,V06,161,440,21,622
T000830,V05,134,241,51,426
T000831,V02,148,125,46,319
T000832,V06,129,141,49,319
T000833,V12,166,263,44,473
T000834,V02,170,161,49,380
T000835,V12,154,438,59,651
T000836,V11,181,301,65,547
T000837,V10,195,122,43,360
T000838,V07,133,502,190,825
T000839,V03,183,340,18,541
T000840,V09,178,605,19,802
T000841,V02,127,631,40,798
T000842,V02,150,439,61,650
T000843,V04,164,313,28,505
T000844,V07,155,456,157,768
T000845,V01,163,463,14,640
T000846,V03,158,437,22,617
T000847,V08,122,294,29,445
T000848,V12,143,646,30,819
T000849,V01,152,533,48,733
T000850,V09,158,132,51,341
T000851,V12,160,265,67,492
T000852,V11,159,236,49,444
T000853,V04,134,338,48,520
T000854,V02,134,560,21,715
T000855,V02,175,252,48,475
T000856,V01,139,157,52,348
T000857,V08,165,206,65,436
T000858,V06,199,223,48,470
T000859,V07,177,359,61,597
T000860,V06,165,300,23,488
T000861,V04,126,499,36,661
T000862,V12,193,504,25,722
T000863,V07,156,227,188,571
T000864,V08,140,372,63,575
T000865,V11,155,307,10,472
T000866,V02,197,176,44,417
T000867,V08,139,556,68,763
T000868,V04,193,308,29,530
T000869,V06,194,420,43,657
T000870,V02,163,215,22,400
T000871,V08,197,155,63,415
T000872,V09,164,484,57,705
T000873,V04,156,333,11,500
T000874,V08,156,584,67,807
T000875,V12,146,483,27,656
T000876,V03,182,485,31,698
T000877,V08,195,481,28,704
T000878,V02,192,145,40,377
T000879,V02,188,394,68,650
T997855,V10,152,479,28,659
T000881,V10,122,132,64,318
T000882,V02,193,193,45,431
T000883,V01,140,250,61,451
T000884,V08,132,504,35,671
T000885,V11,169,268,17,454
T000886,V05,127,375,41,543
T000887,V02,182,288,49,519
T000888,V04,133,401,37,571
T000889,V12,179,363,47,589
T000890,V07,161,475,195,831
T000891,V12,183,413,11,607
T000892,V03,154,513,48,715
T000893,V07,182,583,129,894
T000894,V03,142,486,51,679
T000895,V11,157,160,44,361
T000896,V04,120,264,17,401
T000897,V07,162,331,131,624
T000898,V02,139,580,38,757
T000899,V04,166,262,47,475
T000900,V01,182,257,59,498
T000901,V08,132,475,47,654
T000902,V10,159,173,60,392
T000903,V12,177,320,65,562
T000904,V06,186,652,68,906
T000905,V11,124,188,48,360
T000906,V03,162,394,12,568
T000907,V04,141,455,15,611
T000908,V03,156,122,28,306
T000909,V04,199,149,30,378
T000910,V01,120,230,27,377
T000911,V12,151,269,34,454
T000912,V05,177,340,31,548
T000913,V03,148,450,68,666
T000914,V04,138,590,47,775
T000915,V05,159,196,57,412
T000916,V07,192,231,64,487
T000917,V05,146,282,15,443
T000918,V12,172,542,50,764
T000919,V03,147,440,14,601
T000920,V07,128,319,103,550
T000921,V08,175,602,67,844
T000922,V08,183,428,10,621
T000923,V02,161,198,12,371
T000924,V05,183,389,66,638
T000925,V12,154,360,30,544
T000926,V07,127,373,173,673
T000927,V10,120,583,21,724
T000928,V11,155,174,24,353
