business_unit,office,product_type,trip_date,shift_type,trip_id,planned_pickup_epoch,planned_drop_epoch,actual_pickup_epoch,actual_drop_epoch,planned_km,traveled_km,stwid,signintype,gender,emp_role,boarding_status,not_boarding_reason,is_no_show
catalyst-Sac,Santa Clara Office,CAB,2026-05-01,06:30,1441314,1777617900.0,1777618500.0,1777617722.0,1777618270.0,4.341,2.5926573276519775,503290,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-19,18:30,4864465,1779215400.0,1779219120.0,1779215714.0,1779218149.0,5.774,0.0,487265,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-08,09:00,4922820,1780906200.0,1780908300.0,1780906032.0,1780908112.0,8.4030285,9.292364120483398,264895,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-07-14,15:30,3394366,1784043000.0,1784048520.0,1784042618.0,1784048972.0,32.819,32.239505767822266,409165,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-07-02,10:30,3336707,1782982200.0,1782987900.0,1782983001.0,1782990253.0,32.469,33.23551940917969,121595,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-19,14:30,3126798,1779201000.0,1779202380.0,1779201625.0,1779203905.0,7.507,7.325046539306641,127510,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-04,10:00,4817085,1777886220.0,1777887900.0,1777886216.0,1777888427.0,8.646941,10.646071434020996,346830,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-05-19,17:16,4864159,1779211860.0,1779212520.0,1779211102.0,1779213223.0,7.567,7.434473991394043,327180,Planned,MALE,employee,Boarded,,False
catalyst-Sac,Fairview Commons,CAB,2026-06-01,21:30,1476774,1780350300.0,1780354320.0,1780349987.0,1780354413.0,30.098,30.75718879699707,352970,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-05-27,08:00,4887138,1779865500.0,1779867900.0,1779865596.0,1779868965.0,17.386,17.418258666992188,32380,Planned,FEMALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-06-22,20:15,1188221,1782160200.0,1782164700.0,1782159327.0,1782164654.0,25.07066,24.93315887451172,386390,Planned,MALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-07-11,03:15,1223544,,,1783740132.0,1783742125.0,0.0,20.85794258117676,90465,Adhoc,MALE,escort,Boarded,,False
catalyst-Sac,Santa Clara Office,CAB,2026-06-22,19:00,1503578,1782148920.0,1782153000.0,1782149572.0,1782154457.0,16.249,14.527057647705078,335180,Planned,FEMALE,employee,Boarded,,False
catalyst-Sac,Fairview Commons,CAB,2026-06-22,20:00,1503973,1782159300.0,1782160680.0,1782158825.0,1782160723.0,8.259,8.192855834960938,713615,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-06-12,15:00,3238020,1781276400.0,1781279100.0,,,19.856,0.0,402385,,MALE,employee,Not Boarded,TRIP_CANCELLED_FROM_DASHBOARD,False
orbit-Slc,Eastgate Office,BUS,2026-07-01,13:00,1309282,1782906840.0,1782909900.0,1782908737.0,1782910262.0,13.206389,10.158352851867676,8605,Planned,FEMALE,employee,Boarded,,False
catalyst-Sac,Santa Clara Office,CAB,2026-06-22,19:00,1503578,1782150600.0,1782153000.0,1782151519.0,1782154457.0,10.57,9.148061752319336,321985,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-07-30,12:00,5098671,1785411840.0,1785412800.0,1785411915.0,1785412991.0,7.4700003,4.428267002105713,201240,Planned,FEMALE,employee,Boarded,,False
catalyst-Sac,Santa Clara Office,CAB,2026-07-15,21:30,1538264,1784151900.0,1784152500.0,1784152234.0,1784153169.0,2.535,2.458747386932373,345105,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-06-29,09:30,3318836,1782722100.0,1782725100.0,1782722558.0,1782726053.0,10.125,9.22165870666504,643655,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-05,21:16,4919821,,,1780694589.0,1780697838.0,0.0,18.156469345092773,239790,Adhoc,MALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-05-13,08:30,3097317,1778659020.0,1778660700.0,,,4.330514,0.0,150625,,MALE,employee,Not Boarded,TRIP_CANCELLED_FROM_DASHBOARD,False
vanta-Sea,Denver Office,BUS,2026-06-03,18:30,4910873,1780511400.0,1780514700.0,1780511521.0,1780513169.0,5.417,4.762557506561279,85775,Planned,FEMALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-07-02,12:00,1206572,1782988260.0,1782992700.0,1782988087.0,1782991321.0,28.917316,27.956201553344727,244615,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-30,17:16,4999788,1782840660.0,1782843300.0,1782840661.0,1782845136.0,18.611,19.293628692626953,452615,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-18,09:00,4958606,1781767860.0,1781772300.0,1781767935.0,1781773043.0,19.865906,19.18960952758789,98930,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-03,21:16,4911461,,,1780522416.0,1780527841.0,0.0,20.53527069091797,37790,Adhoc,MALE,escort,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-13,15:30,3101024,1778686200.0,1778687040.0,,,4.821,0.0,570030,,MALE,employee,Not Boarded,TRIP_CANCELLED_FROM_DASHBOARD,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-05-04,07:30,3055513,1777875240.0,1777879500.0,1777875454.0,1777878722.0,32.275,31.669727325439453,83180,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-07-08,Non Shift,3372790,1783540800.0,1783544400.0,1783541867.0,1783543667.0,9.871265,8.676365852355957,540160,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-01,11:00,4901132,1780306800.0,1780310700.0,1780306896.0,1780314836.0,20.38,19.223257064819336,40565,Planned,FEMALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-06-29,19:00,1200614,1782754380.0,1782758700.0,1782754392.0,1782758252.0,23.007849,23.119220733642575,382210,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-04,13:00,4914064,1780573140.0,1780577100.0,,,26.75,0.0,101505,,MALE,employee,Not Boarded,NO_SHOW,True
orbit-Slc,Eastgate Office,BUS,2026-07-01,13:00,1309282,1782905700.0,1782909900.0,1782906428.0,1782910262.0,28.471836,25.392549514770508,7500,Planned,MALE,employee,Boarded,,False
catalyst-Sac,Santa Clara Office,CAB,2026-06-26,01:30,1511506,1782438300.0,1782440280.0,1782438403.0,1782439617.0,10.242,5.214552879333496,687625,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-07-02,14:30,3339820,1783002600.0,1783004280.0,1783003175.0,1783005973.0,6.107231,6.785457134246826,5795,Planned,FEMALE,projectmgr,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-05-15,15:16,4854639,1778859060.0,1778862780.0,1778857757.0,1778863583.0,32.147,32.94835662841797,385435,Planned,FEMALE,employee,Boarded,,False
catalyst-Sac,Santa Clara Office,CAB,2026-05-20,22:30,1464550,1779317100.0,1779317760.0,1779317212.0,1779317888.0,3.283,3.3136439323425293,189855,Planned,FEMALE,employee,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-07-30,12:00,1256339,1785407700.0,1785411900.0,1785408693.0,1785413073.0,16.38475,17.255558013916016,2860,Planned,MALE,projectmgr,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-07-30,20:16,5100868,1785443460.0,1785445440.0,1785442679.0,1785446120.0,15.917,16.90234375,291455,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-25,09:00,3151185,1779695040.0,1779699300.0,1779695128.0,1779699470.0,18.367,16.227495193481445,176670,Planned,FEMALE,projectmgr,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-07-27,10:00,1249528,1785142200.0,1785145500.0,1785142852.0,1785145757.0,16.057243,14.870615005493164,162660,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-07-21,20:16,5067648,1784665860.0,1784668200.0,1784665435.0,1784669494.0,18.172,18.28178977966309,1980,Planned,FEMALE,projectmgr,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-07-31,15:00,3482035,1785510000.0,1785510720.0,1785509791.0,1785511454.0,3.128,3.0194196701049805,258340,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-07,13:00,4829115,1778154420.0,1778157900.0,1778154456.0,1778157360.0,18.206886,20.31999969482422,38860,Planned,MALE,projectmgr,Boarded,,False
orbit-Slc,Cedar Ridge Office,BUS,2026-07-29,15:30,1362427,1785339900.0,1785343200.0,1785340015.0,1785347172.0,26.008396,29.200210571289062,16755,Planned,MALE,projectmgr,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-18,12:00,4959431,1781782680.0,1781783700.0,1781782812.0,1781784434.0,4.2427373,3.4587790966033936,204415,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-07-13,16:30,3387324,1783960200.0,1783964640.0,,,22.427,0.0,101755,,MALE,employee,Not Boarded,TRIP_CANCELLED_FROM_DASHBOARD,False
pinnacle-Slc,Clearwater Campus,CAB,2026-06-15,10:30,3245404,1781515800.0,1781519100.0,1781517737.0,1781521136.0,9.947939,9.942410469055176,410805,Planned,MALE,employee,Boarded,,False
orbit-Slc,Lakeside Commons,CAB,2026-07-31,22:00,1367623,1785536100.0,1785537600.0,1785536170.0,1785537352.0,3.9787736,5.375784397125244,105925,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-14,11:00,4849836,1778754300.0,1778755500.0,1778754424.0,1778756443.0,6.915467,7.718307971954346,486695,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-23,16:16,4976290,1782231360.0,1782233400.0,1782231342.0,1782234179.0,10.811281,11.298958778381348,341430,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-22,11:00,4874307,1779446280.0,1779447300.0,,,2.578,0.0,187855,,MALE,employee,Not Boarded,TRIP_CANCELLED_FROM_DASHBOARD,False
vanta-Sea,Denver Office,BUS,2026-06-01,12:00,4901373,1780311600.0,1780314300.0,1780311526.0,1780314865.0,16.289,16.265377044677734,445810,Planned,MALE,employee,Boarded,,False
catalyst-Sac,Santa Clara Office,CAB,2026-07-29,07:00,1555374,,,1785303110.0,1785306248.0,0.0,13.529996871948242,753525,Adhoc,MALE,escort,Boarded,,False
vanta-Aus,Cedar Ridge Office,CAB,2026-07-07,12:00,1214703,1783422300.0,1783424700.0,1783422889.0,1783424469.0,5.884,5.5415167808532715,325275,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-07-20,21:16,5064060,1784583060.0,1784587140.0,1784582139.0,1784585949.0,18.079775,18.253896713256836,43670,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-05-05,15:00,3063112,1777993200.0,1777994580.0,1777993700.0,1777995127.0,4.8535857,5.9743332862854,155095,Planned,FEMALE,employee,Boarded,,False
catalyst-Sac,Santa Clara Office,CAB,2026-07-15,21:30,1538264,,,1784152218.0,1784159538.0,0.0,46.41313934326172,625400,Adhoc,MALE,escort,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-05-14,01:16,4849113,1778722260.0,1778723460.0,1778721585.0,1778722261.0,8.897,6.143856525421143,316945,Planned,FEMALE,employee,Boarded,,False
catalyst-Sac,Santa Clara Office,CAB,2026-07-09,02:00,1528742,1783563300.0,1783564620.0,1783563411.0,1783564634.0,6.8459997,6.9683451652526855,75540,Planned,FEMALE,projectmgr,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-08,17:16,4924686,1780939860.0,1780941480.0,1780938652.0,1780942028.0,10.137304,11.129354476928713,15830,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-06-10,15:30,3221567,1781105400.0,1781106060.0,1781105448.0,1781106051.0,2.754,0.8676490187644958,653745,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-06-19,08:30,3273551,1781855460.0,1781857500.0,1781855733.0,1781858502.0,9.061321,9.582782745361328,473360,Planned,FEMALE,employee,Boarded,,False
vanta-Sea,Denver Office,CAB,2026-06-10,19:16,4932890,1781119860.0,1781120280.0,1781118891.0,1781120484.0,4.173,4.042708396911621,410030,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-22,08:30,3141599,1779436500.0,1779438300.0,1779436699.0,1779438212.0,4.6913404,6.1866607666015625,253885,Planned,FEMALE,employee,Boarded,,False
catalyst-Sac,Fairview Commons,CAB,2026-06-22,20:00,1503973,1782159300.0,1782160860.0,1782159216.0,1782160948.0,8.786,8.647781372070312,341090,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-06-08,09:30,3207053,1780906440.0,1780910700.0,1780906961.0,1780911771.0,19.748,19.759841918945312,424665,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-27,14:00,4888244,1779886920.0,1779889500.0,1779886913.0,1779888397.0,10.78,9.291725158691406,340915,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-25,09:00,3151185,1779694680.0,1779699300.0,1779695115.0,1779699470.0,18.966,16.227495193481445,14115,Planned,MALE,employee,Boarded,,False
catalyst-Sac,Santa Clara Office,CAB,2026-06-26,01:30,1511506,1782438300.0,1782439140.0,1782438431.0,1782439012.0,3.726,1.360214114189148,536450,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-05-22,11:00,4874307,1779446280.0,1779447300.0,,,2.578,0.0,423650,,FEMALE,employee,Not Boarded,NO_SHOW,True
orbit-Slc,Eastgate Office,CAB,2026-06-16,00:00,1280802,1781568900.0,1781571780.0,1781569417.0,1781571294.0,16.269073,17.557992935180664,263265,Planned,MALE,employee,Boarded,,False
vanta-Sea,Denver Office,BUS,2026-06-30,13:00,4998578,1782822480.0,1782823500.0,1782822934.0,1782823899.0,4.126,4.02327299118042,399430,Planned,MALE,employee,Boarded,,False
catalyst-Sac,Fairview Commons,CAB,2026-05-26,20:00,1470051,1779826500.0,1779832980.0,1779826302.0,1779834356.0,36.863,35.36848449707031,257770,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,14:30,3057030,1777905000.0,1777907700.0,1777905252.0,1777907987.0,17.876,17.974300384521484,102665,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-06-05,09:30,3199945,1780648920.0,1780651500.0,,,9.882999,0.0,603200,,FEMALE,employee,Not Boarded,TRIP_CANCELLED_FROM_DASHBOARD,False
pinnacle-Slc,Willow Bend Campus,CAB,2026-07-14,17:30,3392292,1784050200.0,1784052000.0,1784049685.0,1784052537.0,5.6593137,7.435371398925781,168255,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Ashford Commons,CAB,2026-06-12,Non Shift,3239050,1781226000.0,1781235780.0,1781231844.0,1781232593.0,6.8482227,6.871949195861816,191850,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-06-15,10:30,3245404,1781515260.0,1781519100.0,,,11.79,0.0,82675,,FEMALE,employee,Not Boarded,TRIP_CANCELLED_FROM_DASHBOARD,False
