business_unit,office,product_type,trip_date,shift_type,trip_id,trip_direction,actual_escort,vendor_id,planned_cab_registration,actual_cab_registration,actual_cab_capacity,planned_km,traveled_km,planned_start_epoch,planned_end_epoch,actual_start_epoch,actual_end_epoch,delay_reason,delay_minutes,route_source,actual_cab_fuel_type,is_driver_nc,is_cab_nc,trip_nodal,plannedemployee_cnt,actualemployee_cnt,noshow_cnt
pinnacle-Slc,Willow Bend Campus,CAB,"June 1, 2026",07:30,"3,173,463",LOGIN,false,Aarav Mikhailov Travel,PEX 255 GP,PEX 255 GP,3,13.73,12.5,"1,780,296,420","1,780,298,700","1,780,296,699","1,780,298,850",NODELAY,0,AUTO,Diesel,false,false,NA,1,1,0
pinnacle-Slc,Willow Bend Campus,CAB,"June 3, 2026",08:30,"3,186,806",LOGIN,false,Karan Mikhailov Travel,ZXG 996 GP,ZXG 996 GP,3,4.78,4.4,"1,780,473,720","1,780,475,100","1,780,473,789","1,780,475,205",NODELAY,0,AUTO,Diesel,false,false,HOME,3,2,1
pinnacle-Slc,Clearwater Campus,CAB,"June 3, 2026",15:30,"3,188,744",LOGOUT,false,Divya Kozlov Travel,KKF 760 GP,KKF 760 GP,3,29.46,28.5,"1,780,500,600","1,780,506,000","1,780,502,517","1,780,509,284",DRIVER,18,AUTO,Diesel,false,false,HOME,3,2,0
pinnacle-Slc,Clearwater Campus,CAB,"June 10, 2026",09:00,"3,218,321",LOGIN,false,Divya Sokolov Travel,HHI 631 GP,HHI 631 GP,3,8.95,8.54,"1,781,079,000","1,781,081,700","1,781,078,852","1,781,082,459",NODELAY,0,AUTO,Diesel,false,false,NODAL,3,2,0
pinnacle-Slc,Clearwater Campus,CAB,"June 10, 2026",19:30,"3,222,940",LOGOUT,false,Karan Mikhailov Travel,JJA 941 GP,JJA 941 GP,3,7.72,7.38,"1,781,119,800","1,781,121,780","1,781,118,981","1,781,121,259",NODELAY,0,AUTO,Diesel,false,false,NODAL,1,1,0
pinnacle-Slc,Clearwater Campus,CAB,"June 8, 2026",17:30,"3,209,896",LOGOUT,false,Arjun Mikhailov Travel,VJK 343 GP,VJK 343 GP,3,9.23,9.2,"1,780,939,800","1,780,941,540","1,780,940,202","1,780,944,731",NODELAY,0,AUTO,Diesel,false,false,HOME,1,1,0
pinnacle-Slc,Clearwater Campus,CAB,"July 10, 2026",09:00,"3,375,257",LOGIN,false,Karan Mikhailov Travel,EXS 204 GP,EXS 204 GP,3,5.26,6.14,"1,783,671,720","1,783,673,700","1,783,672,093","1,783,673,498",NODELAY,0,AUTO,Diesel,false,false,NODAL,3,1,1
pinnacle-Slc,Clearwater Campus,CAB,"July 13, 2026",09:30,"3,386,385",LOGIN,false,Karan Mikhailov Travel,ZUK 691 GP,ZUK 691 GP,3,13.32,13.2,"1,783,930,500","1,783,934,700","1,783,930,767","1,783,934,526",NODELAY,0,AUTO,Diesel,false,false,NA,3,2,0
pinnacle-Slc,Clearwater Campus,CAB,"July 13, 2026",15:30,"3,387,548",LOGOUT,false,Amit Mikhailov Travel,HFB 918 GP,HFB 918 GP,3,3.75,3.7,"1,783,956,600","1,783,957,320","1,783,956,712","1,783,958,126",NODELAY,0,AUTO,Diesel,false,false,NA,3,3,0
pinnacle-Slc,Clearwater Campus,CAB,"July 14, 2026",13:30,"3,393,689",LOGOUT,false,Rahul Orlov Travel,NNQ 251 GP,NNQ 251 GP,3,25.38,25.38,"1,784,035,800","1,784,040,000","1,784,035,484","1,784,039,996",NODELAY,0,AUTO,Diesel,false,false,HOME,2,2,0
pinnacle-Slc,Oakmont Office,CAB,"July 15, 2026",19:30,"3,397,942",LOGIN,true,Rahul Mikhailov Travel,HBJ 781 GP,HBJ 781 GP,3,12.41,12.03,"1,784,138,399","1,784,143,500","1,784,138,586","1,784,141,508",NODELAY,0,AUTO,Diesel,false,false,NA,2,2,0
pinnacle-Slc,Clearwater Campus,CAB,"July 17, 2026",09:00,"3,409,722",LOGIN,false,Rahul Orlov Travel,SXY 303 GP,SXY 303 GP,3,3.25,3.3,"1,784,276,700","1,784,278,500","1,784,277,327","1,784,278,865",NODELAY,0,AUTO,Diesel,false,false,NODAL,3,2,0
pinnacle-Slc,Clearwater Campus,CAB,"July 16, 2026",09:00,"3,402,595",LOGIN,false,Aarav Mikhailov Travel,EJA 072 GP,EJA 072 GP,3,4.42,4.21,"1,784,190,360","1,784,192,100","1,784,190,968","1,784,192,408",NODELAY,0,AUTO,Diesel,false,false,NA,3,2,0
pinnacle-Slc,Willow Bend Campus,CAB,"July 20, 2026",14:30,"3,418,510",LOGOUT,false,Karan Mikhailov Travel,WWW 868 GP,WWW 868 GP,3,18.95,18.7,"1,784,557,800","1,784,560,500","1,784,557,137","1,784,559,635",NODELAY,0,AUTO,Diesel,false,false,NA,1,1,0
pinnacle-Slc,Oakmont Office,CAB,"July 20, 2026",19:30,"3,416,961",LOGIN,false,Karan Mikhailov Travel,XFS 350 GP,XFS 350 GP,3,13.64,13.06,"1,784,571,240","1,784,575,500","1,784,572,054","1,784,574,653",NODELAY,0,AUTO,Diesel,false,false,HOME,1,1,0
pinnacle-Slc,Clearwater Campus,CAB,"July 21, 2026",08:30,"3,421,712",LOGIN,false,Arjun Mikhailov Travel,DIC 113 GP,DIC 113 GP,3,5.48,5.15,"1,784,620,740","1,784,622,300","1,784,620,867","1,784,622,752",NODELAY,0,AUTO,Diesel,false,false,NA,3,3,0
pinnacle-Slc,Clearwater Campus,CAB,"July 21, 2026",15:00,"3,426,627",LOGOUT,false,Rahul Morozov Travel,UWB 484 GP,UWB 484 GP,3,6.38,5.3,"1,784,646,000","1,784,647,560","1,784,646,011","1,784,647,690",NODELAY,0,AUTO,Diesel,false,false,HOME,3,3,0
pinnacle-Slc,Willow Bend Campus,CAB,"July 20, 2026",08:30,"3,417,224",LOGIN,false,Aarav Mikhailov Travel,IOM 132 GP,IOM 132 GP,3,11.01,13.8,"1,784,533,140","1,784,535,900","1,784,533,455","1,784,536,082",NODELAY,0,AUTO,Diesel,false,false,NA,4,2,1
pinnacle-Slc,Clearwater Campus,CAB,"July 22, 2026",08:30,"3,428,694",LOGIN,false,Divya Sokolov Travel,AET 317 GP,AET 317 GP,3,9.46,11.51,"1,784,705,700","1,784,708,700","1,784,705,985","1,784,708,396",NODELAY,0,AUTO,Diesel,false,false,HOME,2,1,0
pinnacle-Slc,Clearwater Campus,CAB,"July 22, 2026",13:30,"3,433,023",LOGOUT,false,Sanjay Mikhailov Travel,KJI 586 GP,KJI 586 GP,3,14.28,14.04,"1,784,727,000","1,784,729,700","1,784,726,438","1,784,730,485",NODELAY,0,AUTO,Diesel,false,false,NA,2,2,0
pinnacle-Slc,Oakmont Office,CAB,"July 23, 2026",Non Shift,"3,445,618",LOGOUT,true,Aarav Mikhailov Travel,AOP 938 GP,AOP 938 GP,3,10.88,11.81,"1,784,847,600","1,784,851,200","1,784,847,111","1,784,849,137",NODELAY,0,AUTO,Diesel,false,false,NA,2,2,0
pinnacle-Slc,Oakmont Office,CAB,"July 27, 2026",15:30,"3,450,950",LOGOUT,false,Amit Volkov Travel,AKF 738 GP,AKF 738 GP,3,7.79,8.65,"1,785,166,200","1,785,168,240","1,785,166,127","1,785,168,751",NODELAY,0,AUTO,Diesel,false,false,HOME,3,3,0
pinnacle-Slc,Oakmont Office,CAB,"July 20, 2026",14:30,"3,417,985",LOGOUT,false,Rahul Mikhailov Travel,FME 636 GP,FME 636 GP,3,5.87,8,"1,784,557,800","1,784,559,480","1,784,557,875","1,784,559,785",NODELAY,0,AUTO,Diesel,false,false,NA,1,1,0
vanta-Sea,Denver Office,CAB,"May 1, 2026",15:16,"4,814,188",LOGOUT,false,Isha Mikhailov Travel,PNK 745 GP,PNK 745 GP,3,11.48,11,"1,777,649,460","1,777,650,240","1,777,648,135","1,777,650,225",NODELAY,0,AUTO,Petrol,false,false,NA,2,2,0
vanta-Aus,Cedar Ridge Office,CAB,"May 24, 2026",06:00,"1,136,686",LOGIN,false,Sneha Mikhailov Travel,BMV 632 GP,BMV 632 GP,3,3.55,2.7,"1,779,600,600","1,779,601,500","1,779,600,717","1,779,601,071",NODELAY,0,AUTO,Diesel,false,false,HOME,1,1,0
orbit-Slc,Lakeside Commons,CAB,"May 15, 2026",22:00,"1,231,741",LOGOUT,true,Anjali Mikhailov Travel,HPI 649 GP,HPI 649 GP,3,21.37,29.5,"1,778,883,300","1,778,887,140","1,778,883,950","1,778,904,115",NODELAY,0,AUTO,Diesel,false,false,HOME,2,3,0
vanta-Aus,Cedar Ridge Office,CAB,"May 22, 2026",23:15,"1,135,748",LOGOUT,false,Anjali Mikhailov Travel,YKS 083 GP,YKS 083 GP,5,21.03,22.7,"1,779,492,600","1,779,496,260","1,779,491,689","1,779,495,234",NODELAY,0,AUTO,Diesel,false,false,NA,4,3,1
catalyst-Sac,Fairview Commons,CAB,"May 27, 2026",20:30,"1,472,158",LOGOUT,true,Arjun Mikhailov Travel,XUQ 755 GP,XUQ 755 GP,4,28.29,28.3,"1,779,914,700","1,779,921,180","1,779,914,587","1,779,925,028",NODELAY,0,AUTO,Petrol,false,false,NA,3,4,0
orbit-Slc,Cedar Ridge Office,CAB,"May 21, 2026",20:00,"1,241,643",LOGOUT,false,Rahul Mikhailov Travel,VAU 502 GP,VAU 502 GP,3,22.58,24.07,"1,779,394,500","1,779,398,100","1,779,393,858","1,779,399,867",NODELAY,0,AUTO,Electric,false,false,HOME,3,3,0
orbit-Slc,Lakeside Commons,CAB,"May 29, 2026",03:30,"1,252,013",LOGOUT,true,Anjali Mikhailov Travel,CZF 703 GP,CZF 703 GP,6,11.43,11.4,"1,780,026,300","1,780,028,400","1,780,026,423","1,780,027,606",NODELAY,0,AUTO,Diesel,false,false,HOME,1,2,0
vanta-Sea,Denver Office,CAB,"May 5, 2026",23:16,"4,823,839",LOGOUT,false,Priya Mikhailov Travel,YVD 588 GP,YVD 588 GP,3,25.81,29.9,"1,778,023,860","1,778,027,340","1,778,022,930","1,778,026,480",NODELAY,0,AUTO,Petrol,false,false,NA,2,2,0
orbit-Slc,Cedar Ridge Office,CAB,"May 29, 2026",22:00,"1,253,492",LOGOUT,false,Rahul Mikhailov Travel,JRX 575 GP,JRX 575 GP,3,35.27,35.3,"1,780,092,900","1,780,099,200","1,780,092,483","1,780,096,538",NODELAY,0,AUTO,Electric,false,false,HOME,1,1,0
orbit-Slc,Lakeside Commons,BUS,"May 29, 2026",18:30,"1,252,243",LOGIN,false,Rahul Mikhailov Travel,JZP 410 GP,JZP 410 GP,3,30.75,28.2,"1,780,071,600","1,780,078,500","1,780,071,643","1,780,076,433",NODELAY,0,MANUAL,Diesel,false,false,HOME,1,1,0
catalyst-Sac,Fairview Commons,CAB,"June 2, 2026",00:30,"1,477,176",LOGOUT,false,Arjun Mikhailov Travel,QXJ 207 GP,QXJ 207 GP,4,43.64,41.42,"1,780,361,100","1,780,364,940","1,780,360,544","1,780,364,827",NODELAY,0,AUTO,Petrol,false,false,NA,2,2,0
vanta-Aus,Cedar Ridge Office,CAB,"June 3, 2026",20:15,"1,154,394",LOGOUT,true,Sneha Mikhailov Travel,NLB 076 GP,NLB 076 GP,3,30.16,31.1,"1,780,518,600","1,780,522,980","1,780,517,586","1,780,524,810",NODELAY,0,AUTO,Diesel,false,false,HOME,2,3,0
vanta-Aus,Cedar Ridge Office,CAB,"June 22, 2026",10:00,"1,186,809",LOGIN,false,Sanjay Mikhailov Travel,HHK 857 GP,HHK 857 GP,3,17.52,20.5,"1,782,117,600","1,782,121,500","1,782,117,623","1,782,121,745",NODELAY,0,AUTO,Diesel,false,false,NA,2,2,0
vanta-Aus,Cedar Ridge Office,CAB,"June 4, 2026",05:15,"1,155,541",LOGOUT,false,Sanjay Mikhailov Travel,CRF 045 GP,CRF 045 GP,3,9.11,9.8,"1,780,551,000","1,780,552,140","1,780,549,487","1,780,550,381",NODELAY,0,AUTO,Diesel,false,false,NA,1,1,0
orbit-Slc,Eastgate Office,CAB,"June 2, 2026",22:00,"1,257,253",LOGOUT,false,Rohan Mikhailov Travel,WPZ 704 GP,WPZ 704 GP,3,11.73,14.1,"1,780,438,500","1,780,440,600","1,780,438,431","1,780,441,009",NODELAY,0,AUTO,Diesel,false,false,HOME,3,3,0
orbit-Slc,Eastgate Office,CAB,"June 4, 2026",23:00,"1,261,606",LOGOUT,false,Rohan Mikhailov Travel,UUN 936 GP,UUN 936 GP,3,16.07,16.89,"1,780,614,900","1,780,617,600","1,780,613,527","1,780,615,730",NODELAY,0,AUTO,Diesel,false,false,NA,1,1,0
catalyst-Sac,Santa Clara Office,CAB,"June 10, 2026",05:30,"1,488,618",LOGOUT,false,Vikram Mikhailov Travel,IXK 816 GP,IXK 816 GP,4,25.25,24.3,"1,781,070,300","1,781,073,180","1,781,070,762","1,781,073,351",NODELAY,0,AUTO,Petrol,false,false,HOME,1,1,0
vanta-Aus,Cedar Ridge Office,CAB,"June 9, 2026",10:00,"1,162,897",LOGIN,false,Sneha Mikhailov Travel,AYF 954 GP,AYF 954 GP,3,42.5,42,"1,780,992,600","1,780,998,300","1,780,992,687","1,780,997,912",NODELAY,0,AUTO,Diesel,false,false,NA,2,2,0
vanta-Aus,Cedar Ridge Office,CAB,"May 1, 2026",07:15,"1,097,843",LOGOUT,false,Meera Pavlov Travel,RJF 984 GP,RJF 984 GP,3,20.39,20.6,"1,777,620,600","1,777,623,000","1,777,619,292","1,777,621,260",NODELAY,0,AUTO,Diesel,false,false,NA,1,1,0
vanta-Aus,Cedar Ridge Office,CAB,"May 3, 2026",16:15,"1,099,901",LOGOUT,false,Priya Mikhailov Travel,HUP 218 GP,HUP 218 GP,3,13.35,14.4,"1,777,825,800","1,777,828,680","1,777,824,664","1,777,826,464",NODELAY,0,AUTO,Electric,false,false,NA,1,1,0
vanta-Aus,Cedar Ridge Office,CAB,"May 4, 2026",17:15,"1,101,494",LOGOUT,false,Priya Mikhailov Travel,WDU 626 GP,WDU 626 GP,3,17.36,18.9,"1,777,915,800","1,777,919,400","1,777,914,711","1,777,919,653",NODELAY,0,AUTO,Electric,false,false,NA,2,2,0
vanta-Aus,Cedar Ridge Office,CAB,"May 6, 2026",19:15,"1,106,312",LOGOUT,false,Anjali Mikhailov Travel,DDF 070 GP,DDF 070 GP,3,21.14,22.3,"1,778,095,800","1,778,099,580","1,778,094,572","1,778,100,649",NODELAY,0,AUTO,Electric,false,false,NA,2,2,0
catalyst-Sac,Santa Clara Office,CAB,"May 7, 2026",22:30,"1,448,446",LOGOUT,true,Vikram Mikhailov Travel,HTL 276 GP,HTL 276 GP,4,12.76,13.44,"1,778,193,900","1,778,194,500","1,778,193,597","1,778,198,071",NODELAY,0,AUTO,Petrol,false,false,HOME,2,3,0
catalyst-Sac,Santa Clara Office,CAB,"May 9, 2026",00:30,"1,450,101",LOGOUT,false,Vikram Mikhailov Travel,SZT 010 GP,SZT 010 GP,4,13,14.06,"1,778,287,500","1,778,289,060","1,778,287,433","1,778,289,923",NODELAY,0,AUTO,Petrol,false,false,NA,1,1,0
catalyst-Sac,Santa Clara Office,CAB,"May 11, 2026",20:30,"1,451,423",LOGOUT,true,Divya Mikhailov Travel,SRG 168 GP,SRG 168 GP,4,17.4,17.4,"1,778,532,300","1,778,534,220","1,778,532,266","1,778,537,737",NODELAY,0,AUTO,Petrol,false,false,NA,3,4,0
vanta-Aus,Cedar Ridge Office,CAB,"May 8, 2026",14:00,"1,109,301",LOGIN,false,Meera Pavlov Travel,LPS 992 GP,LPS 992 GP,5,4.87,5.7,"1,778,245,500","1,778,247,900","1,778,245,558","1,778,246,921",NODELAY,0,AUTO,Diesel,false,false,HOME,3,3,0
vanta-Aus,Cedar Ridge Office,CAB,"May 15, 2026",12:00,"1,121,320",LOGIN,false,Meera Pavlov Travel,HTH 606 GP,HTH 606 GP,5,9.25,13.3,"1,778,842,620","1,778,845,500","1,778,843,332","1,778,845,872",NODELAY,0,AUTO,Diesel,false,false,HOME,5,4,1
catalyst-Sac,Santa Clara Office,CAB,"May 18, 2026",19:00,"1,459,657",LOGIN,false,Rohan Mikhailov Travel,RKE 528 GP,RKE 528 GP,4,9.21,9.66,"1,779,126,480","1,779,129,000","1,779,125,999","1,779,131,529",TRAFFIC,27,AUTO,Petrol,false,false,NA,4,4,0
vanta-Aus,Cedar Ridge Office,CAB,"May 14, 2026",20:15,"1,120,466",LOGOUT,true,Sanjay Mikhailov Travel,BHP 200 GP,BHP 200 GP,5,3.82,5.6,"1,778,790,600","1,778,791,380","1,778,789,285","1,778,792,178",NODELAY,0,AUTO,Diesel,false,false,NODAL,5,5,1
vanta-Aus,Cedar Ridge Office,CAB,"May 19, 2026",14:00,"1,127,208",LOGIN,false,Priya Mikhailov Travel,EHV 834 GP,EHV 834 GP,3,11.74,18.1,"1,779,196,140","1,779,198,300","1,779,196,141","1,779,198,457",NODELAY,0,AUTO,Electric,false,false,HOME,2,2,0
catalyst-Sac,Santa Clara Office,CAB,"May 22, 2026",02:00,"1,466,669",LOGOUT,true,Rohan Mikhailov Travel,WVD 177 GP,WVD 177 GP,4,31.19,31.2,"1,779,416,100","1,779,417,720","1,779,416,139","1,779,422,613",NODELAY,0,AUTO,Petrol,false,false,NA,3,4,0
vanta-Aus,Cedar Ridge Office,CAB,"May 20, 2026",23:15,"1,131,173",LOGOUT,false,Sneha Mikhailov Travel,GOA 661 GP,GOA 661 GP,3,25.64,24.8,"1,779,319,800","1,779,322,920","1,779,318,532","1,779,322,960",NODELAY,0,AUTO,Diesel,false,false,NA,2,2,0
vanta-Aus,Cedar Ridge Office,CAB,"July 16, 2026",12:00,"1,231,741",LOGIN,false,Sneha Mikhailov Travel,JLZ 891 GP,JLZ 891 GP,6,19.05,21.3,"1,784,197,500","1,784,202,300","1,784,197,500","1,784,203,146",NODELAY,0,AUTO,Diesel,false,false,HOME,5,4,1
orbit-Slc,Eastgate Office,CAB,"July 15, 2026",03:30,"1,334,047",LOGOUT,true,Rohan Mikhailov Travel,ODS 107 GP,ODS 107 GP,3,9.97,12,"1,784,087,100","1,784,088,900","1,784,087,557","1,784,089,000",NODELAY,0,AUTO,Diesel,false,false,HOME,1,2,0
orbit-Slc,Eastgate Office,CAB,"July 15, 2026",22:00,"1,335,679",LOGOUT,false,Rohan Mikhailov Travel,MWJ 585 GP,MWJ 585 GP,6,36.12,33.44,"1,784,153,700","1,784,160,000","1,784,154,053","1,784,158,570",NODELAY,0,AUTO,Diesel,false,false,HOME,5,5,0
orbit-Slc,Lakeside Commons,CAB,"July 21, 2026",20:00,"1,346,266",LOGOUT,false,Rahul Mikhailov Travel,UPK 618 GP,UPK 618 GP,6,24.26,24.3,"1,784,664,900","1,784,667,900","1,784,665,135","1,784,670,633",NODELAY,0,AUTO,Diesel,false,false,NA,4,4,0
vanta-Sea,Denver Office,BUS,"July 3, 2026",16:30,"5,012,614",LOGOUT,false,Priya Mikhailov Travel,PZL 304 GP,PZL 304 GP,12,6.06,6.2,"1,783,096,200","1,783,099,080","1,783,095,016","1,783,097,877",NODELAY,0,MANUAL,Petrol,false,false,NODAL,2,2,0
orbit-Slc,Lakeside Commons,CAB,"July 23, 2026",20:00,"1,351,635",LOGOUT,true,Anjali Mikhailov Travel,XUG 493 GP,XUG 493 GP,6,14.05,22.2,"1,784,837,700","1,784,839,680","1,784,837,557","1,784,840,447",NODELAY,0,AUTO,Diesel,false,false,HOME,2,3,0
orbit-Slc,Lakeside Commons,BUS,"July 22, 2026",15:30,"1,348,469",LOGOUT,false,Rahul Mikhailov Travel,KUT 414 GP,KUT 414 GP,3,12.95,16.77,"1,784,735,100","1,784,737,860","1,784,734,708","1,784,738,984",NODELAY,0,MANUAL,Diesel,false,false,NA,3,3,0
vanta-Sea,Denver Office,BUS,"July 6, 2026",11:00,"5,017,698",LOGIN,false,Sanjay Mikhailov Travel,RDZ 547 GP,RDZ 547 GP,12,14.62,13.75,"1,783,329,900","1,783,334,700","1,783,329,460","1,783,334,976",NODELAY,0,SHUTTLE_SERVICE,Petrol,false,false,HOME,11,9,2
vanta-Sea,Denver Office,BUS,"July 2, 2026",15:16,"5,008,263",LOGOUT,false,Aarav Mikhailov Travel,ZKW 061 GP,ZKW 061 GP,12,8.48,8.2,"1,783,005,360","1,783,005,600","1,783,004,196","1,783,007,614",NODELAY,0,MANUAL,Petrol,false,false,HOME,3,1,2
vanta-Sea,Denver Office,CAB,"July 2, 2026",20:16,"5,009,394",LOGOUT,true,Anjali Mikhailov Travel,HVM 927 GP,HVM 927 GP,5,13.65,14.9,"1,783,024,260","1,783,026,060","1,783,022,906","1,783,026,988",NODELAY,0,AUTO,Electric,false,false,HOME,4,5,0
vanta-Aus,Cedar Ridge Office,CAB,"July 22, 2026",11:00,"1,241,643",LOGIN,false,Sanjay Mikhailov Travel,PHS 265 GP,PHS 265 GP,6,9.64,10.3,"1,784,714,100","1,784,717,100","1,784,714,141","1,784,717,655",NODELAY,0,AUTO,Diesel,false,false,HOME,5,5,0
vanta-Sea,Denver Office,CAB,"July 6, 2026",10:00,"5,017,015",LOGIN,false,Aarav Petrov Travel,NZT 009 GP,NZT 009 GP,3,5.19,4.1,"1,783,330,380","1,783,331,100","1,783,331,002","1,783,332,874",TRAFFIC,14,AUTO,Petrol,false,false,HOME,2,1,1
orbit-Slc,Lakeside Commons,CAB,"July 31, 2026",03:30,"1,366,407",LOGOUT,false,Anjali Mikhailov Travel,CZF 703 GP,CZF 703 GP,6,10.39,10.8,"1,785,469,500","1,785,471,360","1,785,469,433","1,785,470,615",NODELAY,0,AUTO,Diesel,false,false,NA,1,1,0
catalyst-Sac,Santa Clara Office,CAB,"July 29, 2026",21:00,"1,556,012",LOGIN,true,Rohan Mikhailov Travel,ERO 871 GP,ERO 871 GP,4,20.18,20.18,"1,785,351,600","1,785,357,000","1,785,350,191","1,785,356,598",NODELAY,0,AUTO,Petrol,false,false,NA,3,4,0
vanta-Aus,Cedar Ridge Office,CAB,"July 27, 2026",22:15,"1,251,417",LOGOUT,false,Anjali Mikhailov Travel,RGU 971 GP,RGU 971 GP,5,39.16,38.3,"1,785,191,400","1,785,192,660","1,785,190,273","1,785,195,094",NODELAY,0,AUTO,Diesel,false,false,HOME,3,3,1
orbit-Slc,Cedar Ridge Office,CAB,"July 27, 2026",22:00,"1,357,718",LOGOUT,true,Rahul Mikhailov Travel,DIT 509 GP,DIT 509 GP,3,23.93,23.9,"1,785,190,500","1,785,194,700","1,785,190,977","1,785,193,928",NODELAY,0,AUTO,Diesel,false,false,HOME,1,2,0
pinnacle-Slc,Willow Bend Campus,CAB,"June 4, 2026",18:30,"3,195,068",LOGOUT,false,Rohan Mikhailov Travel,JBY 407 GP,JBY 407 GP,3,25.26,25.74,"1,780,597,800","1,780,602,060","1,780,598,082","1,780,603,152",NODELAY,0,AUTO,Diesel,false,false,NODAL,1,1,0
pinnacle-Slc,Oakmont Office,CAB,"June 8, 2026",14:30,"3,209,066",LOGOUT,false,Pooja Mikhailov Travel,YYK 725 GP,YYK 725 GP,3,9.08,8.8,"1,780,929,000","1,780,930,260","1,780,929,378","1,780,930,668",NODELAY,0,AUTO,Diesel,false,false,NA,1,1,0
pinnacle-Slc,Willow Bend Campus,CAB,"June 12, 2026",14:30,"3,235,832",LOGOUT,false,Aarav Mikhailov Travel,TSQ 080 GP,TSQ 080 GP,3,4.16,6,"1,781,274,600","1,781,275,680","1,781,275,228","1,781,276,456",NODELAY,0,AUTO,Diesel,false,false,NA,1,1,0
pinnacle-Slc,Clearwater Campus,CAB,"June 15, 2026",16:30,"3,246,799",LOGOUT,false,Rohan Mikhailov Travel,FYQ 160 GP,FYQ 160 GP,3,6.67,7.2,"1,781,541,000","1,781,542,860","1,781,541,421","1,781,543,810",NODELAY,0,AUTO,Diesel,false,false,HOME,2,2,0
vanta-Sea,Denver Office,BUS,"June 19, 2026",12:00,"4,964,659",LOGIN,false,Anjali Mikhailov Travel,ROB 665 GP,ROB 665 GP,3,11.9,11.5,"1,781,867,580","1,781,869,500","1,781,867,611","1,781,869,903",NODELAY,0,MANUAL,Petrol,false,false,NODAL,3,1,2
