business_unit,office,product_type,trip_date,shift_type,trip_id,trip_direction,actual_escort,vendor_id,planned_cab_registration,actual_cab_registration,actual_cab_capacity,planned_km,traveled_km,planned_start_epoch,planned_end_epoch,actual_start_epoch,actual_end_epoch,delay_reason,delay_minutes,route_source,actual_cab_fuel_type,is_driver_nc,is_cab_nc,trip_nodal,plannedemployee_cnt,actualemployee_cnt,noshow_cnt
catalyst-Sac,Santa Clara Office,CAB,"July 1, 2026",01:00,"1,517,016",LOGOUT,true,Vikram Mikhailov Travel,TWH 013 GP,TWH 013 GP,4,13.68,13.7,"1,782,868,500","1,782,868,920","1,782,868,431","1,782,873,292",NODELAY,0,AUTO,Petrol,false,false,NA,3,4,0
catalyst-Sac,Santa Clara Office,CAB,"July 1, 2026",01:00,"1,517,030",LOGOUT,false,Rohan Mikhailov Travel,IBA 838 GP,IBA 838 GP,4,16.78,17.1,"1,782,868,500","1,782,870,720","1,782,868,513","1,782,870,191",NODELAY,0,AUTO,Petrol,false,false,NA,2,2,0
catalyst-Sac,Santa Clara Office,CAB,"July 1, 2026",01:00,"1,517,036",LOGOUT,true,Rohan Mikhailov Travel,GLL 735 GP,GLL 735 GP,4,31.61,31.6,"1,782,868,500","1,782,870,000","1,782,868,520","1,782,875,380",NODELAY,0,AUTO,Petrol,false,false,NA,3,4,0
catalyst-Sac,Santa Clara Office,CAB,"July 1, 2026",01:00,"1,517,039",LOGOUT,true,Vikram Mikhailov Travel,XDS 361 GP,XDS 361 GP,4,22.23,23.3,"1,782,868,500","1,782,871,020","1,782,868,586","1,782,873,554",NODELAY,0,AUTO,Petrol,false,false,NA,1,2,0
catalyst-Sac,Santa Clara Office,CAB,"July 1, 2026",01:30,"1,517,074",LOGOUT,false,Vikram Mikhailov Travel,CXJ 120 GP,CXJ 120 GP,4,25.44,25.4,"1,782,870,300","1,782,873,840","1,782,870,379","1,782,873,000",NODELAY,0,AUTO,Petrol,false,false,NA,2,2,0
catalyst-Sac,Santa Clara Office,CAB,"July 1, 2026",01:30,"1,517,077",LOGOUT,true,Divya Mikhailov Travel,WHY 162 GP,WHY 162 GP,4,18.08,18.1,"1,782,870,300","1,782,870,900","1,782,870,211","1,782,873,865",NODELAY,0,AUTO,Petrol,false,false,NA,3,4,0
catalyst-Sac,Santa Clara Office,CAB,"July 1, 2026",01:30,"1,517,080",LOGOUT,true,Vikram Mikhailov Travel,LWX 288 GP,LWX 288 GP,4,25.35,26.57,"1,782,870,300","1,782,871,560","1,782,870,332","1,782,875,158",NODELAY,0,AUTO,Petrol,false,false,NA,2,3,0
catalyst-Sac,Santa Clara Office,CAB,"July 1, 2026",01:30,"1,517,087",LOGOUT,false,Vikram Mikhailov Travel,HSZ 557 GP,HSZ 557 GP,4,14.7,14,"1,782,870,300","1,782,871,980","1,782,870,363","1,782,872,310",NODELAY,0,AUTO,Petrol,false,false,NA,1,1,0
catalyst-Sac,Crestwood Campus,CAB,"July 1, 2026",01:30,"1,517,088",LOGOUT,false,Vikram Mikhailov Travel,NKP 066 GP,NKP 066 GP,4,25.63,25.7,"1,782,870,300","1,782,872,280","1,782,870,153","1,782,873,064",NODELAY,0,AUTO,Petrol,false,false,NA,3,3,0
catalyst-Sac,Santa Clara Office,CAB,"July 1, 2026",02:00,"1,517,207",LOGOUT,true,Rohan Mikhailov Travel,JXU 601 GP,JXU 601 GP,6,4.85,5.4,"1,782,872,100","1,782,872,700","1,782,872,099","1,782,873,904",NODELAY,0,AUTO,Petrol,false,false,HOME,5,6,0
catalyst-Sac,Santa Clara Office,CAB,"July 1, 2026",02:00,"1,517,210",LOGOUT,false,Vikram Mikhailov Travel,WCX 096 GP,WCX 096 GP,4,25.16,23.8,"1,782,872,100","1,782,874,680","1,782,872,050","1,782,874,722",NODELAY,0,AUTO,Petrol,false,false,HOME,1,1,0
catalyst-Sac,Santa Clara Office,CAB,"July 1, 2026",02:00,"1,517,220",LOGOUT,true,Rohan Mikhailov Travel,GYF 312 GP,GYF 312 GP,4,19.1,20.06,"1,782,872,100","1,782,873,120","1,782,872,241","1,782,876,628",NODELAY,0,AUTO,Petrol,false,false,HOME,2,3,0
catalyst-Sac,Santa Clara Office,CAB,"July 1, 2026",02:00,"1,517,229",LOGOUT,false,Divya Mikhailov Travel,QRE 462 GP,QRE 462 GP,4,24.68,25,"1,782,872,100","1,782,873,420","1,782,872,236","1,782,874,718",NODELAY,0,AUTO,Petrol,false,false,HOME,2,2,0
catalyst-Sac,Crestwood Campus,CAB,"July 1, 2026",02:00,"1,517,237",LOGOUT,true,Rohan Mikhailov Travel,LQN 079 GP,LQN 079 GP,4,27.45,28.9,"1,782,872,100","1,782,875,880","1,782,871,761","1,782,877,306",NODELAY,0,AUTO,Petrol,false,false,HOME,2,3,0
catalyst-Sac,Crestwood Campus,CAB,"July 1, 2026",02:00,"1,517,239",LOGOUT,true,Rohan Mikhailov Travel,NLS 933 GP,NLS 933 GP,4,13.75,14.49,"1,782,872,100","1,782,874,080","1,782,872,389","1,782,876,388",NODELAY,0,AUTO,Petrol,false,false,HOME,2,3,0
