site_id,shift_band,date,corridor_congestion_index,avg_speed_kmph,source
Ashford Commons,DAY,2026-07-06,13.9,48.6,SYNTHETIC
Ashford Commons,DAY,2026-07-07,13.2,53.6,SYNTHETIC
Ashford Commons,DAY,2026-07-08,24.6,42.6,SYNTHETIC
Ashford Commons,DAY,2026-07-09,38.8,40.8,SYNTHETIC
Ashford Commons,DAY,2026-07-10,14.1,49.0,SYNTHETIC
Ashford Commons,DAY,2026-07-13,5.5,51.3,SYNTHETIC
Ashford Commons,DAY,2026-07-14,23.9,45.2,SYNTHETIC
Ashford Commons,DAY,2026-07-15,16.1,46.0,SYNTHETIC
Ashford Commons,DAY,2026-07-16,11.6,53.9,SYNTHETIC
Ashford Commons,DAY,2026-07-17,17.0,43.6,SYNTHETIC
Ashford Commons,DAY,2026-07-20,12.3,48.9,SYNTHETIC
Ashford Commons,DAY,2026-07-21,12.9,51.5,SYNTHETIC
Ashford Commons,DAY,2026-07-22,13.7,47.7,SYNTHETIC
Ashford Commons,DAY,2026-07-23,8.7,54.5,SYNTHETIC
Ashford Commons,DAY,2026-07-24,10.5,53.5,SYNTHETIC
Ashford Commons,DAY,2026-07-27,14.4,44.8,SYNTHETIC
Ashford Commons,DAY,2026-07-28,7.0,49.9,SYNTHETIC
Ashford Commons,DAY,2026-07-29,19.5,47.7,SYNTHETIC
Ashford Commons,DAY,2026-07-30,12.5,47.2,SYNTHETIC
Ashford Commons,DAY,2026-07-31,14.3,45.6,SYNTHETIC
Ashford Commons,EARLY,2026-05-01,17.3,43.2,SYNTHETIC
Ashford Commons,EARLY,2026-05-02,17.2,46.4,SYNTHETIC
Ashford Commons,EARLY,2026-05-04,12.6,55.6,SYNTHETIC
Ashford Commons,EARLY,2026-05-05,6.6,51.9,SYNTHETIC
Ashford Commons,EARLY,2026-05-06,6.2,50.9,SYNTHETIC
Ashford Commons,EARLY,2026-05-07,18.3,45.8,SYNTHETIC
Ashford Commons,EARLY,2026-05-08,14.6,50.4,SYNTHETIC
Ashford Commons,EARLY,2026-05-09,4.2,54.4,SYNTHETIC
Ashford Commons,EARLY,2026-05-11,22.3,55.1,SYNTHETIC
Ashford Commons,EARLY,2026-05-12,14.0,43.4,SYNTHETIC
Ashford Commons,EARLY,2026-05-13,14.4,43.6,SYNTHETIC
Ashford Commons,EARLY,2026-05-14,12.8,50.5,SYNTHETIC
Ashford Commons,EARLY,2026-05-15,1.6,55.1,SYNTHETIC
Ashford Commons,EARLY,2026-05-16,17.5,44.8,SYNTHETIC
Ashford Commons,EARLY,2026-05-18,11.9,57.1,SYNTHETIC
Ashford Commons,EARLY,2026-05-19,19.4,48.9,SYNTHETIC
Ashford Commons,EARLY,2026-05-20,11.5,54.3,SYNTHETIC
Ashford Commons,EARLY,2026-05-21,14.1,40.0,SYNTHETIC
Ashford Commons,EARLY,2026-05-22,15.7,50.5,SYNTHETIC
Ashford Commons,EARLY,2026-05-23,24.3,45.8,SYNTHETIC
Ashford Commons,EARLY,2026-05-25,12.2,49.1,SYNTHETIC
Ashford Commons,EARLY,2026-05-26,1.0,54.4,SYNTHETIC
Ashford Commons,EARLY,2026-05-27,0.0,55.4,SYNTHETIC
Ashford Commons,EARLY,2026-05-28,17.2,51.8,SYNTHETIC
Ashford Commons,EARLY,2026-05-29,16.3,43.3,SYNTHETIC
Ashford Commons,EARLY,2026-05-30,6.1,50.1,SYNTHETIC
Ashford Commons,EARLY,2026-06-01,16.9,48.2,SYNTHETIC
Ashford Commons,EARLY,2026-06-02,16.1,47.2,SYNTHETIC
Ashford Commons,EARLY,2026-06-03,15.0,48.8,SYNTHETIC
Ashford Commons,EARLY,2026-06-04,10.1,52.5,SYNTHETIC
Ashford Commons,EARLY,2026-06-05,17.6,48.7,SYNTHETIC
Ashford Commons,EARLY,2026-06-06,4.8,55.4,SYNTHETIC
Ashford Commons,EARLY,2026-06-08,6.9,52.4,SYNTHETIC
Ashford Commons,EARLY,2026-06-09,5.1,52.9,SYNTHETIC
Ashford Commons,EARLY,2026-06-10,3.2,52.7,SYNTHETIC
Ashford Commons,EARLY,2026-06-11,11.5,46.2,SYNTHETIC
Ashford Commons,EARLY,2026-06-12,15.2,55.7,SYNTHETIC
Ashford Commons,EARLY,2026-06-13,3.9,54.9,SYNTHETIC
Ashford Commons,EARLY,2026-06-15,21.8,39.1,SYNTHETIC
Ashford Commons,EARLY,2026-06-16,16.2,40.5,SYNTHETIC
Ashford Commons,EARLY,2026-06-17,15.0,50.8,SYNTHETIC
Ashford Commons,EARLY,2026-06-18,14.4,47.4,SYNTHETIC
Ashford Commons,EARLY,2026-06-19,15.4,50.2,SYNTHETIC
Ashford Commons,EARLY,2026-06-20,6.9,54.1,SYNTHETIC
Ashford Commons,EARLY,2026-06-22,83.2,22.2,SYNTHETIC
Ashford Commons,EARLY,2026-06-23,12.0,51.9,SYNTHETIC
Ashford Commons,EARLY,2026-06-24,11.3,44.9,SYNTHETIC
Ashford Commons,EARLY,2026-06-25,8.4,50.2,SYNTHETIC
Ashford Commons,EARLY,2026-06-26,19.3,48.2,SYNTHETIC
Ashford Commons,EARLY,2026-06-27,17.8,47.4,SYNTHETIC
Ashford Commons,EARLY,2026-06-29,0.9,51.8,SYNTHETIC
Ashford Commons,EARLY,2026-06-30,13.1,49.3,SYNTHETIC
Ashford Commons,EARLY,2026-07-01,9.7,51.3,SYNTHETIC
Ashford Commons,EARLY,2026-07-02,16.4,47.8,SYNTHETIC
Ashford Commons,EARLY,2026-07-03,4.5,52.8,SYNTHETIC
Ashford Commons,EARLY,2026-07-04,5.9,53.5,SYNTHETIC
Ashford Commons,EARLY,2026-07-06,19.3,43.7,SYNTHETIC
Ashford Commons,EARLY,2026-07-07,10.9,51.2,SYNTHETIC
Ashford Commons,EARLY,2026-07-08,17.3,47.4,SYNTHETIC
Ashford Commons,EARLY,2026-07-09,12.1,53.0,SYNTHETIC
Ashford Commons,EARLY,2026-07-10,8.8,48.0,SYNTHETIC
Ashford Commons,EARLY,2026-07-11,16.5,47.2,SYNTHETIC
Ashford Commons,EARLY,2026-07-13,22.1,42.1,SYNTHETIC
Ashford Commons,EARLY,2026-07-14,7.1,53.7,SYNTHETIC
Ashford Commons,EARLY,2026-07-15,9.2,54.2,SYNTHETIC
Ashford Commons,EARLY,2026-07-16,11.3,53.9,SYNTHETIC
Ashford Commons,EARLY,2026-07-17,15.2,52.2,SYNTHETIC
Ashford Commons,EARLY,2026-07-18,19.2,47.0,SYNTHETIC
Ashford Commons,EARLY,2026-07-20,11.9,40.4,SYNTHETIC
Ashford Commons,EARLY,2026-07-21,15.2,48.8,SYNTHETIC
Ashford Commons,EARLY,2026-07-22,19.7,49.0,SYNTHETIC
Ashford Commons,EARLY,2026-07-23,1.7,53.6,SYNTHETIC
Ashford Commons,EARLY,2026-07-24,14.7,48.7,SYNTHETIC
Ashford Commons,EARLY,2026-07-25,8.8,56.5,SYNTHETIC
Ashford Commons,EARLY,2026-07-27,15.6,48.0,SYNTHETIC
Ashford Commons,EARLY,2026-07-28,11.4,53.3,SYNTHETIC
Ashford Commons,EARLY,2026-07-29,14.0,49.3,SYNTHETIC
Ashford Commons,EARLY,2026-07-30,1.3,52.5,SYNTHETIC
Ashford Commons,EARLY,2026-07-31,7.5,48.8,SYNTHETIC
Ashford Commons,EVENING,2026-05-04,8.5,53.7,SYNTHETIC
Ashford Commons,EVENING,2026-05-05,7.0,50.9,SYNTHETIC
Ashford Commons,EVENING,2026-05-06,0.0,55.4,SYNTHETIC
Ashford Commons,EVENING,2026-05-07,4.0,55.7,SYNTHETIC
Ashford Commons,EVENING,2026-05-08,13.8,46.3,SYNTHETIC
Ashford Commons,EVENING,2026-05-11,11.0,52.9,SYNTHETIC
Ashford Commons,EVENING,2026-05-12,30.7,42.3,SYNTHETIC
Ashford Commons,EVENING,2026-05-13,5.2,55.2,SYNTHETIC
Ashford Commons,EVENING,2026-05-14,12.4,51.4,SYNTHETIC
Ashford Commons,EVENING,2026-05-15,3.0,51.6,SYNTHETIC
Ashford Commons,EVENING,2026-05-18,8.4,57.9,SYNTHETIC
Ashford Commons,EVENING,2026-05-19,11.5,46.6,SYNTHETIC
Ashford Commons,EVENING,2026-05-20,8.9,48.3,SYNTHETIC
Ashford Commons,EVENING,2026-05-21,5.0,57.7,SYNTHETIC
Ashford Commons,EVENING,2026-05-22,11.9,48.2,SYNTHETIC
Ashford Commons,EVENING,2026-05-25,15.4,50.7,SYNTHETIC
Ashford Commons,EVENING,2026-05-26,13.0,50.7,SYNTHETIC
Ashford Commons,EVENING,2026-05-27,19.5,47.3,SYNTHETIC
Ashford Commons,EVENING,2026-05-28,8.3,47.7,SYNTHETIC
Ashford Commons,EVENING,2026-05-29,9.6,50.0,SYNTHETIC
Ashford Commons,EVENING,2026-06-01,9.5,51.8,SYNTHETIC
Ashford Commons,EVENING,2026-06-02,2.5,59.7,SYNTHETIC
Ashford Commons,EVENING,2026-06-03,5.3,51.3,SYNTHETIC
Ashford Commons,EVENING,2026-06-04,17.5,47.1,SYNTHETIC
Ashford Commons,EVENING,2026-06-05,9.2,50.4,SYNTHETIC
Ashford Commons,EVENING,2026-06-08,28.5,42.8,SYNTHETIC
Ashford Commons,EVENING,2026-06-09,13.7,54.1,SYNTHETIC
Ashford Commons,EVENING,2026-06-10,16.0,51.9,SYNTHETIC
Ashford Commons,EVENING,2026-06-11,16.0,47.8,SYNTHETIC
Ashford Commons,EVENING,2026-06-12,18.7,47.3,SYNTHETIC
Ashford Commons,EVENING,2026-06-15,6.4,51.1,SYNTHETIC
Ashford Commons,EVENING,2026-06-16,11.3,54.0,SYNTHETIC
Ashford Commons,EVENING,2026-06-17,11.3,49.9,SYNTHETIC
Ashford Commons,EVENING,2026-06-18,2.9,52.3,SYNTHETIC
Ashford Commons,EVENING,2026-06-19,8.7,52.3,SYNTHETIC
Ashford Commons,EVENING,2026-06-22,13.6,47.0,SYNTHETIC
Ashford Commons,EVENING,2026-06-23,1.2,54.3,SYNTHETIC
Ashford Commons,EVENING,2026-06-24,5.9,54.4,SYNTHETIC
Ashford Commons,EVENING,2026-06-25,15.9,50.5,SYNTHETIC
Ashford Commons,EVENING,2026-06-26,20.2,49.3,SYNTHETIC
Ashford Commons,EVENING,2026-06-29,19.7,50.8,SYNTHETIC
Ashford Commons,EVENING,2026-06-30,12.6,50.0,SYNTHETIC
Ashford Commons,EVENING,2026-07-01,21.0,45.7,SYNTHETIC
Ashford Commons,EVENING,2026-07-02,13.9,49.9,SYNTHETIC
Ashford Commons,EVENING,2026-07-03,22.1,46.3,SYNTHETIC
Ashford Commons,EVENING,2026-07-06,16.7,47.6,SYNTHETIC
Ashford Commons,EVENING,2026-07-07,0.7,53.5,SYNTHETIC
Ashford Commons,EVENING,2026-07-08,9.3,50.8,SYNTHETIC
Ashford Commons,EVENING,2026-07-09,16.2,46.6,SYNTHETIC
Ashford Commons,EVENING,2026-07-10,0.5,52.0,SYNTHETIC
Ashford Commons,EVENING,2026-07-13,0.0,52.9,SYNTHETIC
Ashford Commons,EVENING,2026-07-14,18.3,46.8,SYNTHETIC
Ashford Commons,EVENING,2026-07-15,12.9,42.8,SYNTHETIC
Ashford Commons,EVENING,2026-07-16,15.5,51.1,SYNTHETIC
Ashford Commons,EVENING,2026-07-17,11.1,51.3,SYNTHETIC
Ashford Commons,EVENING,2026-07-20,18.6,51.1,SYNTHETIC
Ashford Commons,EVENING,2026-07-21,11.5,48.1,SYNTHETIC
Ashford Commons,EVENING,2026-07-22,5.9,55.4,SYNTHETIC
Ashford Commons,EVENING,2026-07-23,5.3,51.8,SYNTHETIC
Ashford Commons,EVENING,2026-07-24,17.3,44.4,SYNTHETIC
Ashford Commons,EVENING,2026-07-27,9.6,51.0,SYNTHETIC
Ashford Commons,EVENING,2026-07-28,7.2,52.2,SYNTHETIC
Ashford Commons,EVENING,2026-07-29,23.9,49.6,SYNTHETIC
Ashford Commons,EVENING,2026-07-30,12.0,49.5,SYNTHETIC
Ashford Commons,EVENING,2026-07-31,17.3,46.1,SYNTHETIC
Ashford Commons,NIGHT,2026-05-01,14.7,51.0,SYNTHETIC
Ashford Commons,NIGHT,2026-05-02,6.5,50.7,SYNTHETIC
Ashford Commons,NIGHT,2026-05-04,21.1,44.9,SYNTHETIC
Ashford Commons,NIGHT,2026-05-05,9.2,50.3,SYNTHETIC
Ashford Commons,NIGHT,2026-05-06,20.1,50.3,SYNTHETIC
Ashford Commons,NIGHT,2026-05-07,7.7,50.0,SYNTHETIC
Ashford Commons,NIGHT,2026-05-08,7.7,53.7,SYNTHETIC
Ashford Commons,NIGHT,2026-05-09,17.7,49.3,SYNTHETIC
Ashford Commons,NIGHT,2026-05-11,9.0,50.3,SYNTHETIC
Ashford Commons,NIGHT,2026-05-12,14.8,47.8,SYNTHETIC
Ashford Commons,NIGHT,2026-05-13,10.6,49.8,SYNTHETIC
Ashford Commons,NIGHT,2026-05-14,22.6,48.7,SYNTHETIC
Ashford Commons,NIGHT,2026-05-15,10.4,49.0,SYNTHETIC
Ashford Commons,NIGHT,2026-05-16,8.6,53.5,SYNTHETIC
Ashford Commons,NIGHT,2026-05-18,11.8,53.7,SYNTHETIC
Ashford Commons,NIGHT,2026-05-19,18.7,44.4,SYNTHETIC
Ashford Commons,NIGHT,2026-05-20,20.6,45.2,SYNTHETIC
Ashford Commons,NIGHT,2026-05-21,3.3,50.1,SYNTHETIC
Ashford Commons,NIGHT,2026-05-22,9.1,47.6,SYNTHETIC
Ashford Commons,NIGHT,2026-05-23,11.2,46.9,SYNTHETIC
Ashford Commons,NIGHT,2026-05-25,0.0,57.5,SYNTHETIC
Ashford Commons,NIGHT,2026-05-26,7.8,44.3,SYNTHETIC
Ashford Commons,NIGHT,2026-05-27,3.0,54.2,SYNTHETIC
Ashford Commons,NIGHT,2026-05-28,19.8,44.0,SYNTHETIC
Ashford Commons,NIGHT,2026-05-29,7.2,59.0,SYNTHETIC
Ashford Commons,NIGHT,2026-05-30,10.7,52.6,SYNTHETIC
Ashford Commons,NIGHT,2026-06-01,4.7,53.2,SYNTHETIC
Ashford Commons,NIGHT,2026-06-02,9.9,46.9,SYNTHETIC
Ashford Commons,NIGHT,2026-06-03,20.7,48.6,SYNTHETIC
Ashford Commons,NIGHT,2026-06-04,16.4,46.2,SYNTHETIC
Ashford Commons,NIGHT,2026-06-05,20.5,52.5,SYNTHETIC
Ashford Commons,NIGHT,2026-06-06,15.9,47.6,SYNTHETIC
Ashford Commons,NIGHT,2026-06-08,16.1,48.2,SYNTHETIC
Ashford Commons,NIGHT,2026-06-09,22.9,48.9,SYNTHETIC
Ashford Commons,NIGHT,2026-06-10,8.4,57.2,SYNTHETIC
Ashford Commons,NIGHT,2026-06-11,14.1,44.6,SYNTHETIC
Ashford Commons,NIGHT,2026-06-12,16.1,42.4,SYNTHETIC
Ashford Commons,NIGHT,2026-06-13,11.9,49.2,SYNTHETIC
Ashford Commons,NIGHT,2026-06-15,22.5,52.4,SYNTHETIC
Ashford Commons,NIGHT,2026-06-16,17.4,49.2,SYNTHETIC
Ashford Commons,NIGHT,2026-06-17,20.1,46.6,SYNTHETIC
Ashford Commons,NIGHT,2026-06-18,1.3,55.6,SYNTHETIC
Ashford Commons,NIGHT,2026-06-19,12.9,51.0,SYNTHETIC
Ashford Commons,NIGHT,2026-06-20,16.9,50.3,SYNTHETIC
Ashford Commons,NIGHT,2026-06-22,15.1,48.0,SYNTHETIC
Ashford Commons,NIGHT,2026-06-23,16.8,43.9,SYNTHETIC
Ashford Commons,NIGHT,2026-06-24,6.4,51.3,SYNTHETIC
Ashford Commons,NIGHT,2026-06-25,6.5,50.4,SYNTHETIC
Ashford Commons,NIGHT,2026-06-26,6.6,52.8,SYNTHETIC
Ashford Commons,NIGHT,2026-06-27,3.0,51.8,SYNTHETIC
Ashford Commons,NIGHT,2026-06-29,0.0,54.9,SYNTHETIC
Ashford Commons,NIGHT,2026-06-30,9.5,51.6,SYNTHETIC
Ashford Commons,NIGHT,2026-07-01,7.9,55.6,SYNTHETIC
Ashford Commons,NIGHT,2026-07-02,9.0,51.6,SYNTHETIC
Ashford Commons,NIGHT,2026-07-03,17.8,44.5,SYNTHETIC
Ashford Commons,NIGHT,2026-07-04,8.4,48.8,SYNTHETIC
Ashford Commons,NIGHT,2026-07-06,3.0,57.6,SYNTHETIC
Ashford Commons,NIGHT,2026-07-07,17.5,44.0,SYNTHETIC
Ashford Commons,NIGHT,2026-07-08,11.6,48.3,SYNTHETIC
Ashford Commons,NIGHT,2026-07-09,4.6,56.8,SYNTHETIC
Ashford Commons,NIGHT,2026-07-10,15.6,46.7,SYNTHETIC
Ashford Commons,NIGHT,2026-07-11,14.5,51.2,SYNTHETIC
Ashford Commons,NIGHT,2026-07-13,10.2,51.3,SYNTHETIC
Ashford Commons,NIGHT,2026-07-14,19.8,48.7,SYNTHETIC
Ashford Commons,NIGHT,2026-07-15,14.0,54.3,SYNTHETIC
Ashford Commons,NIGHT,2026-07-16,10.1,50.2,SYNTHETIC
Ashford Commons,NIGHT,2026-07-17,12.0,53.0,SYNTHETIC
Ashford Commons,NIGHT,2026-07-18,11.0,51.5,SYNTHETIC
Ashford Commons,NIGHT,2026-07-20,6.9,56.1,SYNTHETIC
Ashford Commons,NIGHT,2026-07-21,8.3,52.5,SYNTHETIC
Ashford Commons,NIGHT,2026-07-22,8.9,56.1,SYNTHETIC
Ashford Commons,NIGHT,2026-07-23,2.2,55.9,SYNTHETIC
Ashford Commons,NIGHT,2026-07-24,14.2,47.8,SYNTHETIC
Ashford Commons,NIGHT,2026-07-25,9.4,50.4,SYNTHETIC
Ashford Commons,NIGHT,2026-07-27,2.6,51.9,SYNTHETIC
Ashford Commons,NIGHT,2026-07-28,6.4,56.5,SYNTHETIC
Ashford Commons,NIGHT,2026-07-29,16.6,45.7,SYNTHETIC
Ashford Commons,NIGHT,2026-07-30,21.7,49.3,SYNTHETIC
Ashford Commons,NIGHT,2026-07-31,16.3,46.2,SYNTHETIC
Boulder Campus,EVENING,2026-05-04,15.2,43.9,SYNTHETIC
Boulder Campus,EVENING,2026-05-05,0.0,51.7,SYNTHETIC
Boulder Campus,EVENING,2026-05-06,7.7,57.2,SYNTHETIC
Boulder Campus,EVENING,2026-05-07,12.0,51.3,SYNTHETIC
Boulder Campus,EVENING,2026-05-08,17.2,49.6,SYNTHETIC
Boulder Campus,EVENING,2026-05-11,8.4,50.6,SYNTHETIC
Boulder Campus,EVENING,2026-05-12,10.8,44.9,SYNTHETIC
Boulder Campus,EVENING,2026-05-13,15.6,46.4,SYNTHETIC
Boulder Campus,EVENING,2026-05-14,5.0,59.5,SYNTHETIC
Boulder Campus,EVENING,2026-05-15,15.1,50.1,SYNTHETIC
Boulder Campus,EVENING,2026-05-18,19.2,46.1,SYNTHETIC
Boulder Campus,EVENING,2026-05-19,6.5,48.4,SYNTHETIC
Boulder Campus,EVENING,2026-05-20,5.4,51.7,SYNTHETIC
Boulder Campus,EVENING,2026-05-21,8.8,54.2,SYNTHETIC
Boulder Campus,EVENING,2026-05-22,14.7,48.8,SYNTHETIC
Boulder Campus,EVENING,2026-05-25,13.5,50.0,SYNTHETIC
Boulder Campus,EVENING,2026-05-26,10.6,51.4,SYNTHETIC
Boulder Campus,EVENING,2026-05-27,24.2,47.0,SYNTHETIC
Boulder Campus,EVENING,2026-05-29,6.6,52.7,SYNTHETIC
Boulder Campus,EVENING,2026-06-01,16.7,46.6,SYNTHETIC
Boulder Campus,EVENING,2026-06-02,12.3,50.0,SYNTHETIC
Boulder Campus,EVENING,2026-06-03,12.0,50.2,SYNTHETIC
Boulder Campus,EVENING,2026-06-04,14.6,44.4,SYNTHETIC
Boulder Campus,EVENING,2026-06-05,12.0,49.1,SYNTHETIC
Boulder Campus,EVENING,2026-06-08,7.8,47.6,SYNTHETIC
Boulder Campus,EVENING,2026-06-09,9.6,53.3,SYNTHETIC
Boulder Campus,EVENING,2026-06-10,8.5,57.6,SYNTHETIC
Boulder Campus,EVENING,2026-06-11,13.8,53.5,SYNTHETIC
Boulder Campus,EVENING,2026-06-12,28.1,41.0,SYNTHETIC
Boulder Campus,EVENING,2026-06-15,15.1,51.8,SYNTHETIC
Boulder Campus,EVENING,2026-06-16,10.3,56.3,SYNTHETIC
Boulder Campus,EVENING,2026-06-17,16.9,44.7,SYNTHETIC
Boulder Campus,EVENING,2026-06-18,13.1,51.6,SYNTHETIC
Boulder Campus,EVENING,2026-06-19,11.2,47.0,SYNTHETIC
Boulder Campus,EVENING,2026-06-22,0.0,52.2,SYNTHETIC
Boulder Campus,EVENING,2026-06-23,0.0,54.9,SYNTHETIC
Boulder Campus,EVENING,2026-06-24,7.7,55.6,SYNTHETIC
Boulder Campus,EVENING,2026-06-25,13.3,45.1,SYNTHETIC
Boulder Campus,EVENING,2026-06-26,13.1,48.9,SYNTHETIC
Boulder Campus,EVENING,2026-06-29,17.5,51.7,SYNTHETIC
Boulder Campus,EVENING,2026-06-30,20.8,46.4,SYNTHETIC
Boulder Campus,EVENING,2026-07-01,21.3,46.1,SYNTHETIC
Boulder Campus,EVENING,2026-07-02,19.0,46.4,SYNTHETIC
Boulder Campus,EVENING,2026-07-03,2.6,53.1,SYNTHETIC
Boulder Campus,EVENING,2026-07-06,11.7,44.9,SYNTHETIC
Boulder Campus,EVENING,2026-07-07,21.1,44.8,SYNTHETIC
Boulder Campus,EVENING,2026-07-08,19.8,52.1,SYNTHETIC
Boulder Campus,EVENING,2026-07-09,13.1,54.0,SYNTHETIC
Boulder Campus,EVENING,2026-07-10,0.0,47.3,SYNTHETIC
Boulder Campus,EVENING,2026-07-13,0.0,50.3,SYNTHETIC
Boulder Campus,EVENING,2026-07-14,14.8,44.9,SYNTHETIC
Boulder Campus,EVENING,2026-07-15,7.2,49.3,SYNTHETIC
Boulder Campus,EVENING,2026-07-16,14.5,53.7,SYNTHETIC
Boulder Campus,EVENING,2026-07-17,13.0,46.9,SYNTHETIC
Boulder Campus,EVENING,2026-07-20,10.8,50.2,SYNTHETIC
Boulder Campus,EVENING,2026-07-21,12.8,52.2,SYNTHETIC
Boulder Campus,EVENING,2026-07-22,12.2,50.9,SYNTHETIC
Boulder Campus,EVENING,2026-07-23,11.0,49.5,SYNTHETIC
Boulder Campus,EVENING,2026-07-24,14.9,47.9,SYNTHETIC
Boulder Campus,EVENING,2026-07-27,22.8,45.3,SYNTHETIC
Boulder Campus,EVENING,2026-07-28,11.9,53.2,SYNTHETIC
Boulder Campus,EVENING,2026-07-29,13.0,45.9,SYNTHETIC
Boulder Campus,EVENING,2026-07-30,9.9,45.7,SYNTHETIC
Boulder Campus,EVENING,2026-07-31,8.1,50.0,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-01,11.3,48.0,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-02,14.1,50.4,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-03,0.5,55.7,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-04,14.7,49.9,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-05,18.3,52.3,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-06,20.3,47.4,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-07,9.8,54.8,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-08,6.7,57.5,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-09,22.3,45.7,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-10,18.0,47.1,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-11,24.3,49.0,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-12,18.7,54.0,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-13,5.3,52.6,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-14,17.8,50.9,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-15,13.1,54.6,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-16,12.6,47.2,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-17,17.9,49.1,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-18,7.7,54.7,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-19,5.0,54.2,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-20,8.8,50.9,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-21,11.1,47.9,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-22,12.2,51.6,SYNTHETIC
Cedar Ridge Office,DAY,2026-05-23,20.1,46.6,SYNTHETIC
